instrument_id,gross_return_contribution,absolute_gross_contribution,position_day_count,max_abs_stock_daily_return
HOOD,0.010948980102601692,0.24517456938839197,153,0.1395156762309684
AXON,-0.025073281994223325,0.2309935994420129,180,0.17552141465240378
SNDK,0.0929355608577278,0.21405066887495108,90,0.17902286324732963
VRT,0.04442301309911703,0.20530635172617473,144,0.24491537431355392
COIN,0.003875084841660514,0.19827757000865967,126,0.16695787191719702
LITE,0.04659457844076371,0.16468209510457854,72,0.14728529410839064
FIX,0.05505907240041966,0.1589687794522692,144,0.22370872792376217
DAL,0.003552595403031562,0.13098433692189182,135,0.11992110933600242
GEV,0.011045803528666527,0.12742176519910783,108,0.15624495721227039
NRG,0.0012957335478454629,0.11313784486022511,117,0.08301670616684675
LRCX,0.040672640180341176,0.11261512564968591,99,0.09868508485985927
EME,0.011891485520099422,0.10929459379197229,126,0.16602310347896654
NEM,0.016615215105361687,0.09961630510192876,99,0.07745002647705146
PWR,0.014941092978287308,0.09662617601299413,108,0.06680013786901973
DELL,0.011312283847099543,0.09492940884143386,90,0.08433017392904196
ODFL,0.014686737313664062,0.09476301658018882,117,0.09659512535933301
CVNA,0.02735606680358713,0.09436949650837531,72,0.08146238595348232
APP,0.015261606014181691,0.0880507355563617,45,0.19679953236338965
BA,0.00868423198220703,0.0819446073029273,117,0.05908777329006343
UNP,-0.0095218816392098,0.0809866283221909,162,0.08765045940745764
STX,0.003108154367707554,0.07992511162779378,45,0.19144066597782783
EMR,0.015452271305452814,0.07926075970610127,108,0.06944646188522552
MU,0.034678767238046374,0.07918349737991877,45,0.1549262977604724
URI,0.009221546353521886,0.07682443178149313,99,0.08963587494746039
GE,-0.016650386517011877,0.07456192145576497,117,0.06679919905959353
XYZ,0.004233119285438537,0.07416138929555369,81,0.0731857640303516
CAT,-0.024698587465156407,0.07117467424910998,81,0.07060195650911982
TPL,-0.013782950874772423,0.07022965440943203,72,0.1568439578558285
COHR,0.028764746034050978,0.06563995166495155,45,0.18324294195971746
INTC,0.0016918121335558652,0.06558011669818928,45,0.17028718802780562
CVX,-0.014965439596735648,0.06449079586772218,126,0.045867503127326015
HON,-0.010704578759023059,0.0641921739464845,135,0.06805088660643221
ETN,0.0031135997774286877,0.06046426705385813,72,0.07357840667032212
LMT,0.013906093046863029,0.059558700549481355,99,0.04616248374982379
CIEN,0.027836941401566687,0.058249113854182494,54,0.10299634808638647
DE,-0.013123302763804325,0.05805589096374652,90,0.05784723493888433
RTX,-0.0004559811864482446,0.05801331843960561,99,0.04907174690863614
UBER,-0.012048405177527434,0.05653847690131456,63,0.08526389968143278
HAL,0.006378408566944383,0.05554308210268455,54,0.11582655838176592
CEG,0.013154722796360185,0.05529463905435215,54,0.058123560044700096
INTU,0.009859709518259558,0.05451331730945706,72,0.06278052469381179
WDC,0.026625349791778937,0.053647774492684895,27,0.10702124812475033
PAYX,0.0023101217948309663,0.05125858774522799,72,0.053607445389993846
SNPS,0.017529802555309178,0.051154562475841645,27,0.3583731788330714
CMI,0.00252890798837323,0.050009256656783435,72,0.06858406199914135
CARR,-0.004479422303867225,0.048801145763997494,72,0.08794934909426644
TSLA,0.004271933050882653,0.04790697957959837,36,0.14259893789511568
CSCO,-0.01690743672874275,0.047836588283203654,63,0.13409242824933632
ANET,0.0012560094881284454,0.04746442095628581,45,0.07029529924105704
ORCL,0.009698372823793955,0.046303238722478046,45,0.06314380403240638
IR,-0.0020788710210333074,0.04547738570052023,54,0.053744027074293044
VST,0.002765966999647013,0.045010237521241524,45,0.06849676367465363
FAST,0.004206199756548746,0.04458426382702986,81,0.04535496221309221
TT,0.0015929935863258084,0.04440381656711289,63,0.08395259472812233
APH,-0.0060747085662464,0.043528885370732434,45,0.07462683599256736
GEHC,-0.005224692086630956,0.0430120211153252,54,0.13160583052502928
HSY,0.002577446307711228,0.04234590132909576,72,0.05941543701665997
COST,-0.0005726712636312249,0.04200696084376593,81,0.039067528543312524
LVS,0.010256413763557,0.04070266688062574,54,0.13956901815480138
HD,0.002441013654834407,0.04060184566776995,72,0.05455341985189799
NEE,-0.0020430173223705884,0.04021516737274068,81,0.06087174664193051
ADM,0.009637673618427251,0.03890034359443133,63,0.047120475691873054
LHX,0.010443830864248382,0.03856222294697864,72,0.05158822823578402
QCOM,-0.017457972992715814,0.03793473034908392,45,0.15115392764797364
ITW,-0.010375414773784076,0.037738123998573236,72,0.04041847157093348
BRK-B,0.0028851764301165315,0.03687320423322763,117,0.04907416215612992
CPRT,-0.0016254997015572258,0.036491429189537655,72,0.07061496380817767
TER,0.0028498842116216824,0.03609945131694273,36,0.07329256069230528
MCHP,0.008567360869885904,0.03594960476117521,36,0.11646300382731911
JPM,-0.006275510455620143,0.03541098015688009,63,0.04221498100137455
V,0.0009846092955355433,0.033131656685500825,72,0.061093539503188854
TDG,0.0032511669517678752,0.032632869043314146,63,0.03619140870143989
ELV,-0.0077936362740747625,0.03253760594584997,27,0.08384855587140483
PCAR,-0.0016474638229530551,0.03152066131901311,54,0.041961241676746086
IBM,0.005128887621258104,0.03132745892830887,45,0.04684784373416373
DDOG,0.021479703455647748,0.03085331316804617,18,0.1373563348887259
UPS,-0.012248599536552508,0.030720577160105404,63,0.035128740909919465
MSFT,0.0013830229158278415,0.03040076168410691,90,0.02699558366256849
CTAS,0.006248531158702553,0.029896252051221175,63,0.03837375588240988
UNH,-0.0009736961480543542,0.02921064615166244,45,0.04542100221890499
HWM,-0.002477173915575154,0.029039082581886106,45,0.03928200388043401
AAPL,-0.003645021238621816,0.028932621167742634,63,0.03455564430429525
GS,-0.006725353922611904,0.028838088815606174,45,0.05747576124961484
MA,-0.003085448070638553,0.028304457260949104,54,0.04624283840475574
KVUE,0.005202595743854865,0.028248644510954324,36,0.12317315639131077
MMM,0.0007933203364057559,0.026940908360388482,45,0.04585653303049453
PCG,-0.0004897053163562812,0.02667520835186399,54,0.06515577309304232
CRM,0.009783602258420478,0.025908499878643212,36,0.06845017664635944
PEP,0.0013067546816400654,0.025157685991086177,63,0.024699517800328197
ADI,-0.004871689907582511,0.023567764614658395,36,0.041496443647212056
XOM,-0.003937560042776172,0.02313069093488946,45,0.03483793858309803
KDP,-0.005868085016857427,0.0230713369252771,36,0.042788658951266934
TMO,0.006968394856053202,0.02253632709499977,36,0.04000237864819456
AMAT,0.007932183167644713,0.02220492429603248,18,0.1406715203520441
ROK,0.0022823212185205115,0.02208865386697071,36,0.04752475427459402
NXPI,-0.0020708825669921273,0.021636362072382256,18,0.05548988093562679
EQT,0.006426491899627169,0.021286132443903313,27,0.044465411492017326
ADBE,0.0025515992695273994,0.02069354031658533,27,0.07311340872166927
GWW,-0.0015813390971208708,0.019836878344709333,45,0.03361774500390491
NSC,-0.006061844910952352,0.019814075661277252,54,0.025333693314111727
COF,0.00037163560644922215,0.01953314605859718,27,0.0755945643416518
AME,0.00013879568610470358,0.019194468090322367,36,0.03892106142650742
ISRG,0.0007393001237502197,0.01905801111874187,27,0.05945810692124365
WMT,-0.005617827405034332,0.019042447030046702,27,0.04129597754684
CRWD,0.0018951147942712738,0.018964363749048793,18,0.05868271823148441
CCL,-0.008164594153198274,0.018957820314573087,18,0.06790845427775416
OXY,-0.011500952757930479,0.018942382320081903,18,0.05415857349651154
AJG,0.00964788673032766,0.01862468739985236,27,0.06719068289626862
WAB,0.00423904818494012,0.018518427265211936,36,0.04907256501199764
APO,0.01069370868892396,0.018334504962113068,18,0.05437281345889233
ADP,0.005877680748130432,0.018098480791974524,27,0.0658370416596582
ATO,-0.0026057639791977226,0.017895962810700022,45,0.029152221873642636
ABT,0.006506299594047188,0.017858677807674056,27,0.05996451836242622
NOC,-0.0041422881908002585,0.017209407226625218,36,0.060244644721481944
BAC,0.0024025198842532623,0.016784575720441543,27,0.04372123345629286
CSX,-0.0014146509977077065,0.016523796964401923,36,0.02821375063079734
WM,-0.0029257805306371846,0.016183992479999937,36,0.03961064022904348
AMZN,0.002452549222805428,0.016042124952822562,18,0.08269617086286296
VRTX,-0.0008850877079065568,0.016033611771679498,27,0.04311443325989006
CME,0.007924215806084317,0.015877479786811605,27,0.05768808323072916
EQIX,0.00472127870463121,0.01570387811521062,36,0.02206344112437275
XEL,-0.002059963006583932,0.01545996449358924,36,0.06694959360303665
ZTS,6.565254559210429e-05,0.015375493383980594,27,0.029612559770439417
A,0.0031082329194634995,0.015123958078829531,27,0.03583506600585129
OTIS,-0.0026089608124815478,0.015065204452838439,36,0.021174478793831164
SBUX,0.0003266608597892241,0.014958293689742948,27,0.046190404039712085
MPC,0.005153553263811301,0.014796581147705396,18,0.058574307354068544
SCHW,0.0037715966842715998,0.014642809538966123,18,0.07424674456425207
REGN,0.0015427320059012372,0.014500189282097143,18,0.049430157867088154
IDXX,-0.004625327078261787,0.014285046831432668,27,0.046028167789007424
FITB,-7.216498071836383e-05,0.014129873895881846,18,0.059645722787843525
PH,-0.006299322549113623,0.01403921578714265,27,0.026301078744190187
COR,-0.007191636422690123,0.013802001042079697,9,0.17378227000323498
MPWR,0.003280894813401453,0.013568545088585833,9,0.057353796285323444
TGT,0.005882659478207963,0.013332048897556837,27,0.036882675242103646
FDX,-0.004456612393999343,0.013171229861357,18,0.046022393890429836
TXN,0.0009696656448479559,0.012831502463785867,18,0.0560162480246722
NKE,0.0012152407155252396,0.012647702391773614,18,0.03136368813913459
EW,0.0005160804414011456,0.01252661193679847,18,0.0330930508437578
PG,-0.0033003047536495026,0.012136482420688528,27,0.026692700921708168
CMCSA,-0.004125098671218963,0.011691498785692367,27,0.03710251495007677
MRK,-0.005015264945684034,0.01159120789433809,18,0.03510213117848626
WFC,-0.008762129439130545,0.011496168504143594,18,0.03089651924327197
AMD,0.00475362010475825,0.01140641218673141,9,0.0940437897701134
VLO,0.004737219236762753,0.01122462713846329,18,0.033676970403535456
MCD,-0.0012992314228970183,0.011111366312621563,27,0.022634195822387904
EBAY,-0.0024162285627724826,0.01105679351382194,18,0.03967538068682419
SLB,0.002251228963522551,0.011042091274302474,18,0.03915882747663302
HCA,0.0009990144622331499,0.010914490801167565,18,0.04605709124220414
BSX,-0.00022199935239714517,0.010863604659118693,18,0.028189248608833095
ABBV,7.853754386660805e-05,0.010852986699668466,18,0.023301215120741348
ETR,0.005293824795567176,0.010397840159272304,18,0.037491492019178896
MSI,0.0019218622748492732,0.010369176024884786,27,0.033119509425751814
PNC,-0.0035152259889348007,0.010351575983264706,18,0.027193230371205024
DVN,-0.0018629291104798494,0.010200063322453757,9,0.05300651154989655
SYY,0.0015057879025528857,0.010012068520206113,18,0.026406553183602743
JNJ,-0.0046346861100242725,0.009591250808268765,27,0.0209228556584955
NVDA,0.0015735404870648117,0.009378875379873515,9,0.0545612407314523
BKNG,0.005308591710859801,0.00934392633088903,9,0.09324228085783048
ACN,-0.0029700191632664797,0.009098981121906892,9,0.045322231106370126
CB,0.0003035211172798315,0.008777100540866896,18,0.026594733612517185
AEP,0.0009261798678311506,0.0086891816768147,27,0.01770555739108448
PLD,-0.001632033401185068,0.008403326662909312,18,0.02874233325924669
PSX,0.0014540063576775509,0.00825062610900661,9,0.04598191131312124
KKR,-0.002737450092054533,0.008235214459280932,9,0.047730411730958044
KLAC,-0.0039582236283358385,0.007981090269129904,9,0.03517840553806317
PLTR,0.006768312105060509,0.00787133256941061,9,0.04961286059572112
CVS,0.0018313674302025962,0.007641566806993178,9,0.04770935748649374
AON,-0.0002065806000228045,0.006953130643986467,9,0.04565219241930496
TJX,0.0002065391744389632,0.006599622625344731,18,0.0237135827175341
CAH,-0.001536884451506748,0.006498041779218045,18,0.026422266033249264
KEYS,0.00322644785825707,0.006390660126031517,9,0.03520169069510515
ROP,0.001515317362371832,0.006381183604536262,18,0.028480359553818113
JCI,0.002449265621164743,0.006328960321730271,9,0.062371463586855413
MS,-0.004616957144240819,0.006305291559981163,9,0.04320077203679373
PM,0.002450155760787615,0.006265336562375951,9,0.027978538611854953
DASH,-0.0011236132498885,0.006264325894421496,9,0.03153013397595328
TRGP,0.0029625897108893798,0.0061233686985297025,9,0.027620522814676862
BX,-0.002585389456234,0.005978273836649117,9,0.033457968799313176
RSG,0.0003161695429336753,0.005828298619751049,18,0.017424757489405973
FANG,-0.0013033069285590061,0.005812566826349969,9,0.0326021980784168
MCO,-0.000582754004478664,0.0055193865969372985,9,0.037045163062220166
AMGN,-0.00036015868279784514,0.005502436418759932,9,0.03806642303866825
NOW,-0.00038370362520841477,0.005316792948884492,9,0.022718424460624664
PANW,-0.0002855168920623263,0.005168992654530485,9,0.016873289725624963
TEL,0.00016691509409768582,0.005083303030020037,9,0.021414992880048
ROST,-0.0006840230637228106,0.005067014920922058,18,0.025741306192027302
BKR,-0.00219435490580166,0.005050184053181711,9,0.03418412482594302
SPGI,-0.0017284637240514659,0.005049725379376535,9,0.03948044613063062
HBAN,0.0008783240144342951,0.005011213444841001,9,0.03239612880173859
CMG,0.004194430104873737,0.004936068647885106,9,0.03433998540177097
HPE,0.00017873588660285978,0.004868394603188758,9,0.021316937434818328
TRV,-0.000694270450914336,0.004834957604264701,9,0.025062864619286973
PRU,-0.0007692723631966159,0.00444173755338455,9,0.028757783062829945
GILD,-0.000935219727620873,0.00427525106781057,9,0.022223843779560104
AXP,0.0009924327002709009,0.004261993342228837,9,0.019582210425989288
PYPL,-0.0014242555929135092,0.004255330540871922,9,0.02639106739024555
WMB,0.0011874254013806542,0.004145916288902346,9,0.016200296452371865
MET,-0.0002521295526404288,0.0039363570661877624,9,0.02740070771170977
TFC,0.00011023235381589795,0.0038891797854918478,9,0.01678184094218249
AMP,0.00047332563185121244,0.003792728097890835,9,0.023137922259347743
PEG,0.0002824087385388419,0.0037597245286653982,9,0.02332642227850379
GRMN,-0.0015318481456172983,0.0037233471174538905,9,0.021753518263575078
MDT,-0.0014832551342755518,0.0036887109933534724,9,0.021038510482557005
HLT,-0.0006406840041904505,0.0036632718896710053,9,0.018163156922734736
BLK,0.0012171258934777609,0.0036346274125836743,9,0.021678084430823308
KO,0.00011454328898843341,0.003390408485865582,9,0.020402208588799597
GLW,0.0011399798765662438,0.003375367703926191,9,0.015356754028303943
AZO,0.001954448422655497,0.003290525853487381,9,0.014805155000936154
DTE,0.002789802653384488,0.00327662825528845,9,0.01825308752633492
MNST,-0.0019405568829162392,0.003251013052241964,9,0.02361716040374562
SRE,0.0009012114462507771,0.0031318284193060544,9,0.0156644178985601
BDX,-0.0007378395530316883,0.0030490332352272665,9,0.014149631767516047
DUK,-0.002100767435206713,0.0027159408902536373,9,0.013231763052104384
SO,-0.0015240264727345854,0.002571031289911707,9,0.01069014957458081
