signal_date,execution_date,end_date,holding_clock,effective_holding_days,sleeve_slot,instrument_id,side,weight,abs_weight,weight_mode,capital_weight,effective_weight,predicted_y,sector,market_cap,size_exposure_z
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,XYZ,long,0.05,0.05,equal_weight,1.0,0.05,0.0127854110414547,Financials,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,MU,long,0.05,0.05,equal_weight,1.0,0.05,0.0107611032788463,Information Technology,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,ORCL,long,0.05,0.05,equal_weight,1.0,0.05,0.0105307394430385,Information Technology,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,TER,long,0.05,0.05,equal_weight,1.0,0.05,0.010168964501846,Information Technology,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,HOOD,long,0.05,0.05,equal_weight,1.0,0.05,0.0099519510592579,Financials,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,HAL,long,0.05,0.05,equal_weight,1.0,0.05,0.0096588660023405,Energy,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,NEM,long,0.05,0.05,equal_weight,1.0,0.05,0.0096096956956515,Unknown,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,HSY,long,0.05,0.05,equal_weight,1.0,0.05,0.0088005869716467,Consumer Staples,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,CVNA,long,0.05,0.05,equal_weight,1.0,0.05,0.0086160548425453,Consumer Discretionary,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,LRCX,long,0.05,0.05,equal_weight,1.0,0.05,0.0080839650138069,Unknown,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,LHX,long,0.05,0.05,equal_weight,1.0,0.05,0.0079689961354356,Industrials,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,A,long,0.05,0.05,equal_weight,1.0,0.05,0.0076902633838077,Health Care,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,CPRT,long,0.05,0.05,equal_weight,1.0,0.05,0.0072942071066652,Industrials,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,DAL,long,0.05,0.05,equal_weight,1.0,0.05,0.0070121495076557,Industrials,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,FAST,long,0.05,0.05,equal_weight,1.0,0.05,0.0064546048774445,Industrials,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,NEE,long,0.05,0.05,equal_weight,1.0,0.05,0.0059861665802848,Utilities,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,FIX,long,0.05,0.05,equal_weight,1.0,0.05,0.0058203348388391,Industrials,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,EMR,long,0.05,0.05,equal_weight,1.0,0.05,0.0057704914702609,Industrials,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,VRT,long,0.05,0.05,equal_weight,1.0,0.05,0.0051409851251104,Industrials,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,ODFL,long,0.05,0.05,equal_weight,1.0,0.05,0.0049721122929915,Industrials,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,UNH,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0081737031860561,Health Care,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,NOW,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0029452284930415,Information Technology,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,CRM,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0025461668265773,Information Technology,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,HD,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0022848249996227,Consumer Discretionary,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,MSI,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0022379167865796,Information Technology,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,UNP,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0009261624347047,Industrials,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,HON,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0008376607728222,Industrials,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,CAT,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0007266741261271,Industrials,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,WMT,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0006014262734852,Consumer Staples,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,DELL,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0005549834909559,Unknown,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,WFC,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0003784453748876,Financials,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,CEG,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0003616762773412,Unknown,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,TT,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0003393476677075,Industrials,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,JPM,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0003068844707516,Financials,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,NRG,short,-0.05,0.05,equal_weight,1.0,-0.05,-0.0002237881817523,Utilities,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,BA,short,-0.05,0.05,equal_weight,1.0,-0.05,4.795291475850493e-05,Industrials,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,MPC,short,-0.05,0.05,equal_weight,1.0,-0.05,0.0002549690389227,Energy,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,ETN,short,-0.05,0.05,equal_weight,1.0,-0.05,0.0003984216645021,Industrials,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,UBER,short,-0.05,0.05,equal_weight,1.0,-0.05,0.0009085984639517,Industrials,,
2025-06-16,2025-06-17,2025-07-01,signal_horizon,9,0,ITW,short,-0.05,0.05,equal_weight,1.0,-0.05,0.0013418933013441,Industrials,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,PCG,long,0.05,0.05,equal_weight,1.0,0.05,0.0119407879203448,Utilities,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,ORCL,long,0.05,0.05,equal_weight,1.0,0.05,0.0110457815584104,Information Technology,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,ADM,long,0.05,0.05,equal_weight,1.0,0.05,0.0102559447982502,Consumer Staples,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,NEM,long,0.05,0.05,equal_weight,1.0,0.05,0.0098442299609447,Unknown,,
2025-07-01,2025-07-02,2025-07-16,signal_horizon,9,0,PLTR,long,0.05,0.05,equal_weight,1.0,0.05,0.0098067637829112,Information Technology,,
