date,instrument_id,target_weight,capital_weight,effective_weight,daily_close_return,gross_return_contribution,signal_date,execution_date,end_date,sleeve_slot,side
2025-06-04,ACN,-0.05,1.0,-0.05,0.011185717930828787,-0.0005592858965414394,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-05,ACN,-0.05,1.0,-0.05,-0.0032237311661246215,0.0001611865583062311,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-06,ACN,-0.05,1.0,-0.05,0.007197586146184376,-0.00035987930730921883,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-09,ACN,-0.05,1.0,-0.05,-0.0032424966874975425,0.00016212483437487714,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-10,ACN,-0.05,1.0,-0.05,0.01358102191364119,-0.0006790510956820595,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-11,ACN,-0.05,1.0,-0.05,-0.005297338839885701,0.0002648669419942851,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-12,ACN,-0.05,1.0,-0.05,-0.0034145222227942584,0.00017072611113971294,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-13,ACN,-0.05,1.0,-0.05,-0.02018048135164663,0.0010090240675823315,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-16,ACN,-0.05,1.0,-0.05,0.008405190805423901,-0.00042025954027119505,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-04,ADM,0.05,1.0,0.05,-0.0008459784856101882,-4.229892428050941e-05,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-05,ADM,0.05,1.0,0.05,-0.005503724250378483,-0.0002751862125189242,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-06,ADM,0.05,1.0,0.05,0.009365520907846037,0.00046827604539230184,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-09,ADM,0.05,1.0,0.05,0.010122351615257541,0.0005061175807628771,2025-06-02,2025-06-03,2025-06-16,0,long
