instrument_id,gross_return_contribution,absolute_gross_contribution,position_day_count,max_abs_stock_daily_return
SNDK,0.14374667452509057,0.32663599255400233,135,0.17902286324732963
HOOD,0.013437273810497063,0.2708266248209932,171,0.1395156762309684
LITE,0.07501033898105795,0.24562785342556812,126,0.17125079088588557
SATS,0.06920471637458074,0.22936298777843142,135,0.49109265960450155
MU,0.08478908199477958,0.21519418886876632,126,0.19291611835518196
COIN,0.003875084841660514,0.19827757000865967,126,0.16695787191719702
APP,0.021219740366796126,0.19049594502412034,108,0.19679953236338965
INTC,0.03396499558462571,0.17789186794065692,108,0.23599883837488722
AXON,-0.003844432243130835,0.15078284910265916,108,0.17552141465240378
WDC,0.04221934835988518,0.1476123714962875,81,0.10702124812475033
VRT,0.03817919693819793,0.13928318027141914,99,0.24491537431355392
COHR,0.059734060588299935,0.13887632445116382,99,0.18324294195971746
CVNA,0.020958872509427046,0.13701689967696462,99,0.138098613526069
STX,0.03966994220622318,0.1265841639793809,81,0.19144066597782783
NEM,0.008891276471982214,0.12070096777752652,108,0.08679995690361042
QCOM,-0.0016806335534296519,0.11940666073274758,108,0.15115392764797364
CIEN,0.04898774289202217,0.11236517165031386,90,0.13136878059312262
LRCX,0.04034202018749996,0.11124044181670094,90,0.09868508485985927
CCL,-0.0021855546960272585,0.10862328746072779,99,0.09056075489341864
AMD,0.013951403393879203,0.1010376833127642,72,0.17314443048613348
NRG,-0.005527017469830886,0.09575213239178502,90,0.08301670616684675
XYZ,0.01604220212358536,0.09516350281382074,90,0.16816435339451608
TER,0.03637378926545539,0.09142684271312086,72,0.20473729136471164
INTU,0.012413195929795612,0.09097217743947875,108,0.06390433441911636
DELL,-0.0020384362446209886,0.09036234668224088,90,0.0748526638105731
CSCO,-0.023441862918514956,0.0836588808695947,135,0.13409242824933632
TPL,-0.013847167010857133,0.080285096840967,90,0.1568439578558285
MSFT,-0.002034432741911114,0.07886988303756141,171,0.05445092515583938
FIX,0.025814786808105308,0.07775616169503309,72,0.07717610754391535
AAPL,-0.01888711441900813,0.07740617948768433,162,0.050906861493067224
SNPS,0.006921592625547425,0.07330426142134353,54,0.3583731788330714
IBM,-0.009559625868185855,0.06943587349610587,81,0.12709100907726922
FCX,-0.0033081575343180676,0.06215357472845434,54,0.16953273225389298
LVS,0.02049200657492923,0.06021037827930887,90,0.08894516113334472
CVX,-0.01761745696094119,0.05989352510344266,117,0.045867503127326015
ORCL,0.00018524428261266178,0.058796726122799216,54,0.06314380403240638
MPWR,-0.01428926869077487,0.058561993152370206,54,0.07591306800879405
CEG,0.00869150872517856,0.057311755318870526,54,0.058123560044700096
TSLA,0.00645505361458073,0.05673302029945814,45,0.14259893789511568
AMAT,0.020198940554748968,0.05543653005479204,45,0.1406715203520441
ACN,-0.0014734579345226373,0.05474723669146714,63,0.06918062860851193
GEV,0.006687111992738803,0.054570061291712504,54,0.15624495721227039
CRM,0.019151031388131852,0.05331540883177272,63,0.08693361293766588
ANET,0.004731699384513649,0.05307127154235061,54,0.07029529924105704
COST,0.004892851055352277,0.05303857790069379,108,0.039067528543312524
ADP,0.008854017973951219,0.05243266768926111,81,0.07978108920284055
JPM,0.0010751693100177816,0.0514017778317706,90,0.04221498100137455
HAL,0.004878854245348247,0.049673206374475115,45,0.11582655838176592
DDOG,0.016935654396631958,0.04941673104776916,36,0.1373563348887259
FTNT,0.0017548338492267722,0.048778961032235606,45,0.22033545638904473
ADBE,0.016036885679086784,0.04803902982051886,63,0.07583954165769924
VST,-0.005161307845825547,0.04526014174955223,45,0.06849676367465363
DAL,6.597741650042903e-05,0.04256562241170088,54,0.06935110103298725
MSI,-0.002747575786584982,0.042217507232349225,90,0.07672214567947311
BRK-B,0.0031144511921002756,0.042053165464511634,117,0.04907416215612992
HPE,-0.01308006102476809,0.04163221644891306,36,0.12640675079946595
WDAY,0.011269278170153751,0.04116570778845321,45,0.07163649352841528
MCHP,0.011474297122887207,0.04114719022742853,45,0.11646300382731911
HD,0.002441013654834407,0.04060184566776995,72,0.05455341985189799
MCD,0.00541543244887856,0.040406615903639406,90,0.03239336093589318
LIN,-0.008735864938485072,0.03950774791650579,90,0.02717239630108681
WBD,0.010739818540415691,0.039317206311560514,36,0.10971617158633817
AMZN,6.960481693562507e-06,0.03920225365562376,63,0.08269617086286296
NKE,0.01473199548103269,0.03916644132047631,45,0.15505485935755414
GS,-0.0022731141048412114,0.03877043847763546,54,0.07473623704566434
UNH,0.007083008933431673,0.03823825375430446,54,0.08640129091679838
TXN,-0.010805960843096157,0.03770195171190537,45,0.09937444134436668
GLW,0.00204575076528976,0.03703389992164771,36,0.08904221295830161
PYPL,0.009621038395330501,0.036499513991004914,36,0.06742342686310576
NXPI,0.0014879469452912851,0.03550506092442366,27,0.05708462843118434
NOW,0.007216101585724427,0.0343285847891259,36,0.1774522263651499
UNP,-0.007564962551372462,0.034286382446071635,63,0.08765045940745764
XOM,-0.004671909595026424,0.03369815993735444,72,0.03483793858309803
PCG,-0.0011498371617036868,0.033380615114053235,54,0.06515577309304232
RCL,-0.008154527787324208,0.03322850681271202,36,0.0671901710917695
PLTR,0.004717688644273155,0.031537689373403226,27,0.0936568076795321
APH,-0.002829635087197785,0.03152547851067782,27,0.07462683599256736
SBUX,0.0012374203274226007,0.031379903277720535,54,0.046190404039712085
KVUE,0.014197181906953954,0.03085414761834863,27,0.12317315639131077
HSY,0.004505594248451827,0.029810601320546182,45,0.05941543701665997
CDNS,-0.006638361792931525,0.02960166892192423,27,0.08484532197190942
AVGO,-0.005989778881318675,0.029552706778351104,36,0.05487204220414066
LMT,0.009088131934860206,0.029148488757080523,45,0.042566613243602336
MA,-0.0032113855878881273,0.02909645438625436,63,0.04624283840475574
BA,0.0022068848089068054,0.028945816537532632,36,0.04733997963915826
ODFL,0.007195287522026417,0.028498667668799084,45,0.05661891762076454
IRM,0.00876434464819018,0.028123060393350465,45,0.04575024109017112
KLAC,-0.014377717023440985,0.027295748408802858,27,0.0840851960148532
ELV,-0.00020342295976732484,0.026157080416521546,27,0.08384855587140483
WMT,-0.0032567602492545762,0.025991959341911244,45,0.04129597754684
ISRG,-0.0012034794779729185,0.025894283502193947,36,0.05945810692124365
DASH,0.009662888305161928,0.02579849923075311,27,0.05545283488423802
KEYS,0.00418380899126296,0.02493934454457445,27,0.048105086223202864
META,-0.0008356479255043291,0.024932785245709715,36,0.08550039214340277
ADSK,0.0021931691403561933,0.024838565569219446,45,0.06886453093164435
HON,-0.00936167139494995,0.024354597922760242,45,0.06805088660643221
NFLX,-0.0033953522634497246,0.02406315482739593,36,0.034204584960354945
BKNG,0.01183287595532876,0.023201977328694647,18,0.09324228085783048
BAC,0.0014269860071554287,0.023138571738298055,36,0.04372123345629286
FITB,0.00458234748263593,0.023036668534170412,27,0.059645722787843525
DHI,0.007183038835589568,0.02267539902962635,27,0.05442644998828672
BSX,-0.007417948933128665,0.021600491713217467,27,0.12456628005639592
TJX,-0.001822568631696359,0.02150307615786494,63,0.027330513543947665
CAT,-0.00725199966540201,0.021117255669194125,27,0.042547115115695755
EME,-0.0014582904176294823,0.02074454989875605,27,0.03816987933116556
DE,-0.0035505528888004232,0.020095593634451542,27,0.05784723493888433
ABBV,-0.0023075315328683734,0.020070315134730572,27,0.05545493068524965
CARR,0.003883602059365388,0.018474280138479106,27,0.08794934909426644
ADM,0.004404254062555003,0.018066474050969283,36,0.047120475691873054
ROP,0.007360300103394074,0.018020309043978396,36,0.04229296056713849
SLB,-0.0001317538104602499,0.01764238368429129,27,0.03915882747663302
TEL,-0.0036814604618046814,0.017585592379334533,36,0.026104397227082576
NVDA,0.0014960332528698825,0.017374484463762923,18,0.0545612407314523
PWR,0.011119122905221202,0.01718103302709947,18,0.06680013786901973
PEP,0.0011024300457790515,0.016317064168827028,36,0.03369545737901747
CMG,0.01089280207880461,0.015696470608303682,27,0.037577121668465274
A,0.0026038958396825407,0.01561729228037881,27,0.03704044477528856
