date,long_gross_return,short_gross_return,gross_return,transaction_cost,borrow_cost,net_return,long_exposure,short_exposure_abs,gross_exposure,net_exposure,benchmark_return,active_return_vs_equal_weight_long_only,excess_return,portfolio_nav,benchmark_nav
2025-07-28,0.005254593164183741,0.0014581469529874884,0.00671274011717123,0.0,0.0,0.00671274011717123,1.0,1.0,2.0,0.0,-0.0029179167830732577,0.009630656900244488,0.009630656900244488,1.1240966862570456,1.0754194429938824
2025-07-29,-0.0021798038231142128,-0.00037698240083736687,-0.0025567862239515796,0.0,0.0,-0.0025567862239515796,1.0,1.0,2.0,0.0,-4.641243787573172e-05,-0.002510373786075848,-0.002510373786075848,1.121222611335234,1.075369530155794
2025-07-30,0.010277737195380245,0.0020543693246767806,0.012332106520057024,0.004000000000000001,0.0,0.008332106520057024,1.0,1.0,2.0,0.0,-0.003499307090423659,0.011831413610480682,0.011831413610480682,1.1305647575655755,1.0716064819340942
2025-07-31,0.0,0.0,0.0,0.004000000000000001,0.0,-0.004000000000000001,1.0,1.0,2.0,0.0,-0.006754429262912655,0.0027544292629126544,0.0027544292629126544,1.1260424985353132,1.0643683917541917
2025-08-01,-0.027714972958236758,0.018580246211956176,-0.009134726746280587,0.0,0.0,-0.009134726746280587,1.0,1.0,2.0,0.0,-0.012143756907363745,0.0030090301610831583,0.0030090301610831583,1.1157564080064941,1.0514429607448472
2025-08-04,0.018436186006438975,-0.010473150578527346,0.00796303542791163,0.0,0.0,0.00796303542791163,1.0,1.0,2.0,0.0,0.014072591151102506,-0.006109555723190876,-0.006109555723190876,1.1246412158123693,1.0662394876501142
2025-08-05,-0.0009530777246951512,0.0024768264584942635,0.0015237487337991153,0.0,0.0,0.0015237487337991153,1.0,1.0,2.0,0.0,-0.0035542688481551474,0.005078017581954263,0.005078017581954263,1.1263548864409416,1.0624497858544866
2025-08-06,0.00863158455607585,-0.008072203105744974,0.0005593814503308755,0.0,0.0,0.0005593814503308755,1.0,1.0,2.0,0.0,0.0010009270142018725,-0.000441545563870997,-0.000441545563870997,1.1269849484709062,1.0635132205463813
2025-08-07,-0.0020964152401368947,0.004645262074813178,0.0025488468346762817,0.0,0.0,0.0025488468346762817,1.0,1.0,2.0,0.0,-0.0007916675400005808,0.0033405143746768626,0.0033405143746768626,1.1298574604895442,1.0626712716513131
2025-08-08,0.006632438826530823,-0.004897936914754009,0.0017345019117768136,0.0,0.0,0.0017345019117768136,1.0,1.0,2.0,0.0,0.004440597535734202,-0.0027060956239573883,-0.0027060956239573883,1.1318172004147984,1.0673901670815036
