signal_date,execution_date,end_date,holding_clock,effective_holding_days,sleeve_slot,instrument_id,side,weight,abs_weight,weight_mode,capital_weight,effective_weight,predicted_y,sector,market_cap,size_exposure_z
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,CEG,long,0.02,0.02,equal_weight,1.0,0.02,0.0119847800423257,Unknown,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,MPWR,long,0.02,0.02,equal_weight,1.0,0.02,0.0119694440504696,Information Technology,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,EMR,long,0.02,0.02,equal_weight,1.0,0.02,0.0119240784475986,Industrials,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,MPC,long,0.02,0.02,equal_weight,1.0,0.02,0.0118351189953696,Energy,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,GEHC,long,0.02,0.02,equal_weight,1.0,0.02,0.0117978987278247,Health Care,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,HBAN,long,0.02,0.02,equal_weight,1.0,0.02,0.0117726765488428,Financials,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,TFC,long,0.02,0.02,equal_weight,1.0,0.02,0.0117279466634917,Financials,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,MMM,long,0.02,0.02,equal_weight,1.0,0.02,0.0115797311710371,Industrials,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,KMB,long,0.02,0.02,equal_weight,1.0,0.02,0.0115574719608113,Consumer Staples,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,URI,long,0.02,0.02,equal_weight,1.0,0.02,0.0114484753666451,Industrials,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,PANW,short,-0.02,0.02,equal_weight,1.0,-0.02,0.0001845296900637,Information Technology,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,PEG,short,-0.02,0.02,equal_weight,1.0,-0.02,0.0006231306051423,Utilities,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,COST,short,-0.02,0.02,equal_weight,1.0,-0.02,0.0008581013049256,Consumer Staples,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,MSFT,short,-0.02,0.02,equal_weight,1.0,-0.02,0.0015344419668661,Information Technology,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,MSI,short,-0.02,0.02,equal_weight,1.0,-0.02,0.0017749820227008,Information Technology,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,WMT,short,-0.02,0.02,equal_weight,1.0,-0.02,0.0019794622867629,Consumer Staples,,
