instrument_id,gross_return_contribution,absolute_gross_contribution,position_day_count,max_abs_stock_daily_return
SNDK,0.07981351507063573,0.2047633694372332,216,0.27564952573938983
HOOD,0.011285371115973502,0.14477293657957063,225,0.15832097561363034
LITE,0.04260480277230962,0.12455022899669378,162,0.23566574245150873
MU,0.046430333430388354,0.12130818818441277,189,0.19291611835518196
SATS,0.031436723956946924,0.11270437971938344,171,0.49109265960450155
COIN,0.0022964139442879813,0.10610405799158903,162,0.16695787191719702
COHR,0.0277683251308254,0.10138984858659837,162,0.18324294195971746
WDC,0.029722479477941526,0.09607589196269414,153,0.13176442646144837
INTC,0.014587015033861941,0.08798884445973981,144,0.23599883837488722
AXON,-0.005697201752931454,0.08680038293781073,171,0.17552141465240378
APP,0.005823591179364265,0.08540454017594919,126,0.19679953236338965
TER,0.01568028084584146,0.08391571651572854,153,0.20473729136471164
CIEN,0.02883149220314502,0.08292422638620067,144,0.13136878059312262
CVNA,0.008386713745357115,0.0827336225224717,153,0.14167290113877118
AMD,0.019173380613375247,0.0793467718753928,144,0.17314443048613348
VRT,0.016712654005129446,0.07815883334611098,135,0.24491537431355392
DELL,0.012878358663566762,0.07674078145178032,153,0.21926721364693647
ORCL,-0.010082971344330676,0.07508960263639636,135,0.35948822688047843
STX,0.02072280859506397,0.07194698389058987,117,0.19144066597782783
CEG,-0.0020254309295854793,0.06946644070538692,153,0.09815361425915115
CCL,-0.0023857439990381166,0.06783694661574867,162,0.11230162116127729
FCX,0.0062121822435246355,0.06751053858462684,153,0.16953273225389298
XYZ,0.006957898789091246,0.06741422731863447,153,0.16816435339451608
NRG,-0.004720126899001333,0.06705016961227438,162,0.13607819882141448
LRCX,0.016836404608233203,0.06510640445197381,135,0.09868508485985927
VST,0.002885953144597971,0.06434963991730791,144,0.10471438658517118
NEM,0.007174898458355479,0.0642939342533192,153,0.08679995690361042
FIX,0.022023628960167862,0.06358751178090767,144,0.22370872792376217
TSLA,0.011941373842566069,0.061305573677894847,126,0.14259893789511568
NOW,0.010763557500443215,0.060788006283147636,126,0.1774522263651499
QCOM,-8.943173174579726e-05,0.059065065373206514,153,0.15115392764797364
INTU,0.014036720934905102,0.057358669142704426,162,0.10886436952475631
TPL,0.005786900266581421,0.054714270092101856,135,0.1568439578558285
CSCO,-0.014284263441465819,0.05365926562480851,207,0.13409242824933632
SNPS,0.0010845507392245213,0.05268856007087726,108,0.3583731788330714
DDOG,0.01368639860487382,0.052618872094102896,117,0.2312557271068736
DAL,0.002010322391004405,0.04950390929978346,126,0.11992110933600242
AMAT,0.001816495738683106,0.048661488580353345,108,0.1406715203520441
WBD,0.015876321077873845,0.04851456896310677,126,0.2894736944480223
MPWR,-0.009226078793696184,0.04765059040119951,117,0.07591306800879405
ACN,0.006167218937319508,0.04731426154185138,135,0.09588065609561847
RCL,-0.005838177252333194,0.046682884762785155,117,0.08750658592451521
XOM,-0.009562769026930127,0.04503694460856211,189,0.040658966519155015
GLW,0.009457951402538462,0.04472968305578879,81,0.11163478525036008
GEV,0.004264246104478227,0.04180758452594758,90,0.15624495721227039
APH,0.0014668783096270306,0.040634613645997145,90,0.12204507173342771
WDAY,0.007048310057546861,0.040143678886538095,90,0.12445203153180717
MSFT,-0.0022072570569017253,0.040102233411499856,207,0.05445092515583938
CVX,-0.007331733152629525,0.039463280819903926,189,0.050994334775061434
APO,0.004770319609337966,0.03939604809714475,108,0.08566436306935599
TXN,-0.0029375732899777976,0.03933614714083117,126,0.13339839565163036
LVS,0.01136431031386571,0.039114501930050456,126,0.13956901815480138
IBM,-0.0042262958574636866,0.0387347870759826,126,0.12709100907726922
ADBE,0.005692219764413179,0.03852804504861645,117,0.07583954165769924
KLAC,-0.007365024433491396,0.03834307935672442,99,0.08422552949662354
CRM,0.003424674900509448,0.03742138601167696,108,0.08693361293766588
NXPI,-0.0006508558484729711,0.03709546270973982,108,0.09857959964398666
MCHP,0.007565346424286395,0.03684374937117602,90,0.11646300382731911
UNH,0.0013112937370229002,0.03675615493170431,117,0.11978341510813428
HAL,0.0009225268454853059,0.03570806909984422,99,0.11582655838176592
PLTR,0.0025056044677491474,0.03559167850179064,81,0.0936568076795321
EME,0.003922694112761831,0.03533963521604488,99,0.16602310347896654
ADP,0.006988883648119282,0.03494659201626111,144,0.07978108920284055
EBAY,-0.0047177033828573285,0.03484390860731542,117,0.1588306145278494
HPE,-0.007584367619207793,0.0341500519892382,90,0.12640675079946595
AAPL,-0.008624546285916648,0.03405229565549523,180,0.050906861493067224
ADSK,0.002046902374757429,0.03371882849637503,117,0.06886453093164435
GS,-0.005114019588736176,0.033560281262305085,117,0.07473623704566434
DHI,0.006433981228302976,0.03347436864564801,99,0.16979112518855444
ELV,-0.00041194097269626047,0.032436868485083446,90,0.08384855587140483
GEHC,-0.004649148653947368,0.032118775349655584,108,0.13160583052502928
LIN,-0.002554397422027572,0.03175050070338866,189,0.03208527313416076
DASH,-0.0004820699475724785,0.03147971663247707,72,0.06597078715526816
FITB,0.007516234410484688,0.03120129395360674,135,0.059645722787843525
CRWD,0.005993481141858448,0.030817056530913718,72,0.09848177800089986
ANET,-0.0008842420542032521,0.03055884795238984,81,0.08550963609712059
HD,0.0003040409659110545,0.029417519553335714,126,0.05455341985189799
JPM,-0.002695081256275498,0.02937535709961662,153,0.04221498100137455
BA,0.00371414856723223,0.02882987594346363,99,0.05908777329006343
ODFL,0.0031448387989921845,0.028688494283052438,90,0.09659512535933301
MCD,0.0024529950203076396,0.028597481399549613,171,0.03239336093589318
MSI,-0.001667573733376575,0.027822874309188873,144,0.07672214567947311
KVUE,0.005733859017064546,0.027648187894460483,99,0.12317315639131077
PYPL,-0.0013597120268819094,0.027514296576791844,63,0.2031339398148746
BRK-B,0.0010617978430715993,0.02701819924640644,207,0.04907416215612992
COST,-0.0015484672462031752,0.026837823645370042,135,0.039067528543312524
MA,8.100152689905139e-05,0.0265078417080143,135,0.05771161238241751
CMG,0.002134977785119148,0.026473827844321802,99,0.04352622216798396
PWR,0.006912619028429648,0.0264591865527391,72,0.06680013786901973
FTNT,0.00024625270542722355,0.02617613336908466,72,0.22033545638904473
A,0.0007043390451874701,0.025696246697130776,99,0.07970398534871914
PANW,-0.0009871789910161888,0.025635553011946113,90,0.07418702864336746
BAC,-0.0010037173160625404,0.025557892772983707,108,0.04722747152111373
TMO,0.004499448843002047,0.025525177846365325,108,0.06797310525225142
UNP,-0.001629269766433658,0.02546199672559179,126,0.08765045940745764
EMR,0.004257074737512569,0.025441849739349792,81,0.06944646188522552
MPC,0.006513169006657527,0.02496494385372256,81,0.06031316621034799
HSY,-5.3744944290567823e-05,0.02489736428421207,99,0.05941543701665997
