date,long_gross_return,short_gross_return,gross_return,transaction_cost,borrow_cost,net_return,long_exposure,short_exposure_abs,gross_exposure,net_exposure,benchmark_return,active_return_vs_equal_weight_long_only,excess_return,portfolio_nav,benchmark_nav
2025-06-03,0.0,0.0,0.0,0.004000000000000002,0.0,-0.004000000000000002,1.0,1.0,2.0,0.0,0.0070072069315681475,-0.01100720693156815,-0.01100720693156815,0.996,1.007007206931568
2025-06-04,-0.002438818088240025,0.0039391494982736735,0.001500331410033649,0.0,0.0,0.001500331410033649,1.0,1.0,2.0,0.0,-0.002125576175478623,0.0036259075855122717,0.0036259075855122717,0.9974943300843936,1.0048667364039792
2025-06-05,-0.003749062264372416,0.0021581892557347685,-0.0015908730086376475,0.0,0.0,-0.0015908730086376475,1.0,1.0,2.0,0.0,-0.0017214928537249608,0.00013061984508731328,0.00013061984508731328,0.9959074432783932,1.003136865498314
2025-06-06,0.011670878173101107,-0.006535014603587299,0.005135863569513809,0.0,0.0,0.005135863569513809,1.0,1.0,2.0,0.0,0.00943819703591438,-0.004302333466400571,-0.004302333466400571,1.0010222880349344,1.0126046688888766
2025-06-09,0.005539204201124329,0.008538735894382107,0.014077940095506433,0.0,0.0,0.014077940095506433,1.0,1.0,2.0,0.0,-0.0013046845751815347,0.015382624670687968,0.015382624670687968,1.015114619840157,1.0112835391966204
2025-06-10,0.006201064194631791,0.0010296958994744346,0.007230760094106225,0.0,0.0,0.007230760094106225,1.0,1.0,2.0,0.0,0.004345245981466781,0.0028855141126394434,0.0028855141126394434,1.022454670124241,1.015677814931438
2025-06-11,0.0003168530935747117,0.004948143034560613,0.0052649961281353245,0.0,0.0,0.0052649961281353245,1.0,1.0,2.0,0.0,-0.0012460831176065597,0.006511079245741885,0.006511079245741885,1.027837890003639,1.0144121959533245
2025-06-12,0.0015213988334930415,-0.006611349304462729,-0.005089950470969687,0.0,0.0,-0.005089950470969687,1.0,1.0,2.0,0.0,0.004128343134510266,-0.009218293605479953,-0.009218293605479953,1.0226062460513343,1.018600037578052
2025-06-13,-0.01688368921651514,0.009061087706618553,-0.007822601509896583,0.0,0.0,-0.007822601509896583,1.0,1.0,2.0,0.0,-0.01113908080134657,0.0033164792914499863,0.0033164792914499863,1.0146068048869434,1.0072537694552153
2025-06-16,0.03450806928511098,-0.00045037675106472273,0.03405769253404626,0.004000000000000002,0.0,0.030057692534046256,1.0,1.0,2.0,0.0,0.010241614134128876,0.019816078399917378,0.019816078399917378,1.0451035442711862,1.0175696738971223
2025-06-17,0.0,0.0,0.0,0.004000000000000002,0.0,-0.004000000000000002,1.0,1.0,2.0,0.0,-0.007889925357047687,0.0038899253570476855,0.0038899253570476855,1.0409231300941015,1.0095411251244786
2025-06-18,0.007985910611289462,-0.0005297396392180742,0.007456170972071388,0.0,0.0,0.007456170972071388,1.0,1.0,2.0,0.0,0.0011833253278192768,0.006272845644252111,0.006272845644252111,1.0486844309208667,1.0107357407073136
2025-06-20,0.0008334966795811455,-3.228542902180992e-05,0.0008012112505593355,0.0,0.0,0.0008012112505593355,1.0,1.0,2.0,0.0,0.001134738108427618,-0.0003335268578682825,-0.0003335268578682825,1.049524648685207,1.0118826610698441
2025-06-23,0.0025699712248117156,-0.010387345323709074,-0.00781737409889736,0.0,0.0,-0.00781737409889736,1.0,1.0,2.0,0.0,0.008251643207767714,-0.016069017306665073,-0.016069017306665073,1.041320121880421,1.0202323557571191
2025-06-24,0.019402852150644787,-0.011714234248308694,0.007688617902336092,0.0,0.0,0.007688617902336092,1.0,1.0,2.0,0.0,0.010394718541356667,-0.0027061006390205746,-0.0027061006390205746,1.0493264344115736,1.0308373839419995
2025-06-25,-0.001990885178340921,0.005581269880486441,0.0035903847021455217,0.0,0.0,0.0035903847021455217,1.0,1.0,2.0,0.0,-0.006076652042891699,0.00966703674503722,0.00966703674503722,1.0530939199892417,1.0245733438469793
2025-06-26,0.014070737193081526,-0.006908059928479682,0.007162677264601845,0.0,0.0,0.007162677264601845,1.0,1.0,2.0,0.0,0.008752999258149468,-0.001590321993547623,-0.001590321993547623,1.0606368918674391,1.0335414335655915
2025-06-27,0.0014745324332463648,-0.005837643422182501,-0.004363110988936137,0.0,0.0,-0.004363110988936137,1.0,1.0,2.0,0.0,0.0054743759054966465,-0.009837486894432784,-0.009837486894432784,1.0560092153892613,1.0391994278868355
2025-06-30,0.006290525057971936,-0.006786310296748394,-0.0004957852387764588,0.0,0.0,-0.0004957852387764588,1.0,1.0,2.0,0.0,0.006330878030882208,-0.006826663269658667,-0.006826663269658667,1.0554856616082593,1.0457784727145496
2025-07-01,0.007559660983678208,-0.004420405519109973,0.003139255464568234,0.004000000000000002,0.0,-0.000860744535431768,1.0,1.0,2.0,0.0,0.005277899658444373,-0.006138644193876141,-0.006138644193876141,1.0545771580928034,1.0512979865584982
2025-07-02,0.0,0.0,0.0,0.004000000000000002,0.0,-0.004000000000000002,1.0,1.0,2.0,0.0,0.00334202017605752,-0.007342020176057522,-0.007342020176057522,1.0503588494604321,1.0548114456406252
2025-07-03,0.006663598333511514,-0.008709461612843064,-0.0020458632793315494,0.0,0.0,-0.0020458632793315494,1.0,1.0,2.0,0.0,0.007235923876393993,-0.009281787155725543,-0.009281787155725543,1.0482099588602,1.0624439809652297
2025-07-07,-0.01117347346420838,0.0061395501016698,-0.005033923362538579,0.0,0.0,-0.005033923362538579,1.0,1.0,2.0,0.0,-0.007073097825380271,0.0020391744628416916,0.0020391744628416916,1.042933350259448,1.0549292107538764
2025-07-08,0.00574611016536117,0.0020620493141168986,0.007808159479478068,0.0,0.0,0.007808159479478068,1.0,1.0,2.0,0.0,0.0005308013525148214,0.007277358126963247,0.007277358126963247,1.05107674018474,1.055489168605752
2025-07-09,0.004985962894893081,0.0005950048701081512,0.005580967765001232,0.0,0.0,0.005580967765001232,1.0,1.0,2.0,0.0,0.0023406196245509526,0.003240348140450279,0.003240348140450279,1.0569427655902537,1.0579596672672915
2025-07-10,0.010051749816108737,0.003597797274674275,0.013649547090783013,0.0,0.0,0.013649547090783013,1.0,1.0,2.0,0.0,0.003866401161744434,0.009783145929038579,0.009783145929038579,1.0713695556414402,1.0620501637538926
2025-07-11,-0.003964144164107672,0.005968023274355743,0.0020038791102480707,0.0,0.0,0.0020038791102480707,1.0,1.0,2.0,0.0,-0.0052965842933903,0.007300463403638371,0.007300463403638371,1.073516450713346,1.0564249255377611
2025-07-14,0.00017241125316107994,-0.002558692653257788,-0.002386281400096708,0.0,0.0,-0.002386281400096708,1.0,1.0,2.0,0.0,0.0030281881198152547,-0.005414469519911962,-0.005414469519911962,1.0709547383743108,1.0596239789467514
2025-07-15,-0.010716811150797137,0.008941478335285856,-0.0017753328155112789,0.0,0.0,-0.0017753328155112789,1.0,1.0,2.0,0.0,-0.01137990731637194,0.009604574500860661,0.009604574500860661,1.0690534372833476,1.0475655562761321
2025-07-16,0.0028124191584126073,-0.001303804444113852,0.0015086147142987546,0.004000000000000002,0.0,-0.002491385285701247,1.0,1.0,2.0,0.0,0.0033120142153714913,-0.005803399501072738,-0.005803399501072738,1.0663900132800714,1.0510351082900522
2025-07-17,0.0,0.0,0.0,0.004000000000000002,0.0,-0.004000000000000002,1.0,1.0,2.0,0.0,0.006606030615974507,-0.01060603061597451,-0.01060603061597451,1.0621244532269511,1.0579782783938805
2025-07-18,0.0012842947304523137,-3.4553284002358624e-05,0.0012497414464499547,0.0,0.0,0.0012497414464499547,1.0,1.0,2.0,0.0,0.0014148290186595048,-0.0001650875722095501,-0.0001650875722095501,1.0634518341774368,1.0594751367632635
2025-07-21,-0.002405685660995605,0.0004412492037119331,-0.0019644364572836714,0.0,0.0,-0.0019644364572836714,1.0,1.0,2.0,0.0,-0.0014348420747950467,-0.0005295943824886247,-0.0005295943824886247,1.0613627506238135,1.0579549572598363
2025-07-22,0.005506848719830102,-0.004376054195629469,0.0011307945242006341,0.0,0.0,0.0011307945242006341,1.0,1.0,2.0,0.0,0.00592836480828963,-0.0047975702840889955,-0.0047975702840889955,1.0625629338104094,1.0642269001972113
2025-07-23,0.012718073182617256,-0.00579034683591496,0.006927726346702297,0.0,0.0,0.006927726346702297,1.0,1.0,2.0,0.0,0.008394182092076603,-0.0014664557453743067,-0.0014664557453743067,1.069924079041997,1.073160214584753
2025-07-24,-0.0038314118815877276,0.000135934965837401,-0.003695476915750327,0.0,0.0,-0.003695476915750327,1.0,1.0,2.0,0.0,-0.0015160260046217292,-0.0021794509111285982,-0.0021794509111285982,1.065970199306292,1.071533275792317
2025-07-25,0.012555181945855767,-0.005784217859590861,0.006770964086264906,0.0,0.0,0.006770964086264906,1.0,1.0,2.0,0.0,0.0065638043868698134,0.00020715969939509235,0.00020715969939509235,1.0731878452428236,1.0785666106086398
2025-07-28,0.0023147395338819574,0.0016954186244963081,0.004010158158378265,0.0,0.0,0.004010158158378265,1.0,1.0,2.0,0.0,-0.0029179167830732577,0.006928074941451523,0.006928074941451523,1.0774914982358965,1.0754194429938824
2025-07-29,0.0009584431656604585,0.002782569742162202,0.0037410129078226605,0.0,0.0,0.0037410129078226605,1.0,1.0,2.0,0.0,-4.641243787573172e-05,0.0037874253456983923,0.0037874253456983923,1.081522407838866,1.075369530155794
2025-07-30,0.007066788548341429,0.002082380141630066,0.009149168689971496,0.004000000000000002,0.0,0.005149168689971494,1.0,1.0,2.0,0.0,-0.003499307090423659,0.008648475780395154,0.008648475780395154,1.0870913491588126,1.0716064819340942
2025-07-31,0.0,0.0,0.0,0.004000000000000002,0.0,-0.004000000000000002,1.0,1.0,2.0,0.0,-0.006754429262912655,0.0027544292629126535,0.0027544292629126535,1.0827429837621774,1.0643683917541917
2025-08-01,-0.022469729264398684,0.011725386938865198,-0.010744342325533488,0.0,0.0,-0.010744342325533488,1.0,1.0,2.0,0.0,-0.012143756907363745,0.0013994145818302575,0.0013994145818302575,1.071109622494067,1.0514429607448472
2025-08-04,0.017480042060393716,-0.011666493594816045,0.005813548465577668,0.0,0.0,0.005813548465577668,1.0,1.0,2.0,0.0,0.014072591151102506,-0.008259042685524838,-0.008259042685524838,1.0773365701963828,1.0662394876501142
2025-08-05,-0.0011799522730059377,0.008810633757939295,0.007630681484933358,0.0,0.0,0.007630681484933358,1.0,1.0,2.0,0.0,-0.0035542688481551474,0.011184950333088505,0.011184950333088505,1.085557382415622,1.0624497858544866
2025-08-06,0.0020596492578465585,-0.002196123161526102,-0.00013647390367954346,0.0,0.0,-0.00013647390367954346,1.0,1.0,2.0,0.0,0.0010009270142018725,-0.001137400917881416,-0.001137400917881416,1.0854092321619755,1.0635132205463813
2025-08-07,-0.0026258925270000464,-0.0005187073048963109,-0.0031445998318963574,0.0,0.0,-0.0031445998318963574,1.0,1.0,2.0,0.0,-0.0007916675400005808,-0.0023529322918957765,-0.0023529322918957765,1.08199605447298,1.0626712716513131
2025-08-08,0.006007001968400419,-0.003898136203695786,0.002108865764704635,0.0,0.0,0.002108865764704635,1.0,1.0,2.0,0.0,0.004440597535734202,-0.002331731771029567,-0.002331731771029567,1.0842778389098036,1.0673901670815036
2025-08-11,-0.005717076748978261,0.0031003078218246414,-0.002616768927153619,0.0,0.0,-0.002616768927153619,1.0,1.0,2.0,0.0,-0.0028290127541141545,0.00021224382696053562,0.00021224382696053562,1.081440534352543,1.064370506685214
2025-08-12,0.020013007817482383,-0.013463954322454863,0.00654905349502752,0.0,0.0,0.00654905349502752,1.0,1.0,2.0,0.0,0.012573077097271887,-0.006024023602244367,-0.006024023602244367,1.088522946263709,1.0777529191258295
