date,instrument_id,target_weight,capital_weight,effective_weight,daily_close_return,gross_return_contribution,signal_date,execution_date,end_date,sleeve_slot,side
2025-06-06,ADSK,-0.02,1.0,-0.02,-0.0012072157054491273,2.4144314108982546e-05,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-09,ADSK,-0.02,1.0,-0.02,-0.0021822128801191054,4.364425760238211e-05,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-10,ADSK,-0.02,1.0,-0.02,0.0011103835649644012,-2.2207671299288024e-05,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-11,ADSK,-0.02,1.0,-0.02,-0.0025879529110776067,5.1759058221552136e-05,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-12,ADSK,-0.02,1.0,-0.02,0.006065365020870184,-0.00012130730041740368,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-13,ADSK,-0.02,1.0,-0.02,-0.02146901398358947,0.0004293802796717894,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-16,ADSK,-0.02,1.0,-0.02,0.024438609123791588,-0.0004887721824758318,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-04,AJG,-0.02,1.0,-0.02,-0.025807423772660987,0.0005161484754532198,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-05,AJG,-0.02,1.0,-0.02,-0.02449889825175744,0.0004899779650351487,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-06,AJG,-0.02,1.0,-0.02,0.004000565859995531,-8.001131719991061e-05,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-09,AJG,-0.02,1.0,-0.02,-0.03324615728297453,0.0006649231456594906,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-10,AJG,-0.02,1.0,-0.02,-0.010791942349633099,0.00021583884699266198,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-11,AJG,-0.02,1.0,-0.02,-0.0046437529461513805,9.287505892302761e-05,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-12,AJG,-0.02,1.0,-0.02,0.023039592656845853,-0.00046079185313691707,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-13,AJG,-0.02,1.0,-0.02,-0.010963534979209988,0.00021927069958419977,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-16,AJG,-0.02,1.0,-0.02,-0.0009791826545098026,1.958365309019605e-05,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-04,AON,-0.02,1.0,-0.02,-0.004966985293395232,9.933970586790465e-05,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-05,AON,-0.02,1.0,-0.02,-0.005716246529639757,0.00011432493059279514,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-06,AON,-0.02,1.0,-0.02,0.0016194768911312885,-3.238953782262577e-05,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-09,AON,-0.02,1.0,-0.02,-0.046511616378786313,0.0009302323275757263,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-10,AON,-0.02,1.0,-0.02,-0.0059915546292128585,0.00011983109258425717,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-11,AON,-0.02,1.0,-0.02,-0.006340386712594848,0.00012680773425189696,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-12,AON,-0.02,1.0,-0.02,0.018026692908713615,-0.0003605338581742723,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-13,AON,-0.02,1.0,-0.02,-0.007813811602771059,0.0001562762320554212,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-16,AON,-0.02,1.0,-0.02,-0.008385228343638529,0.00016770456687277059,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-04,APO,0.02,1.0,0.02,-0.006102012711553195,-0.00012204025423106391,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-05,APO,0.02,1.0,0.02,-0.00015371890286808298,-3.07437805736166e-06,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-06,APO,0.02,1.0,0.02,0.024332255233516786,0.0004866451046703357,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-09,APO,0.02,1.0,0.02,0.0004495744725681039,8.991489451362079e-06,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-10,APO,0.02,1.0,0.02,0.0158042083102774,0.00031608416620554803,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-11,APO,0.02,1.0,0.02,0.017770111874541028,0.00035540223749082057,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-12,APO,0.02,1.0,0.02,0.0005796550620389418,1.1593101240778836e-05,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-13,APO,0.02,1.0,0.02,-0.043443668529710266,-0.0008688733705942053,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-16,APO,0.02,1.0,0.02,0.015063184547329467,0.00030126369094658935,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-04,APP,0.02,1.0,0.02,0.045193292030709875,0.0009038658406141975,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-05,APP,0.02,1.0,0.02,-0.005713949937738549,-0.00011427899875477099,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-06,APP,0.02,1.0,0.02,0.009054908647921689,0.00018109817295843377,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-09,APP,0.02,1.0,0.02,-0.08205510384015746,-0.0016411020768031493,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-10,APP,0.02,1.0,0.02,2.601472337948607e-05,5.202944675897215e-07,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-11,APP,0.02,1.0,0.02,-0.0004692074832749471,-9.384149665498943e-06,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-12,APP,0.02,1.0,0.02,-0.007432924283520825,-0.0001486584856704165,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-13,APP,0.02,1.0,0.02,-0.04227756820118067,-0.0008455513640236134,2025-06-02,2025-06-03,2025-06-16,0,long
