signal_date,execution_date,end_date,sleeve_slot,top_k,neutral_mode,weight_mode,max_abs_weight,cost_bps,borrow_cost_bps,holding_clock,effective_holding_days,execution_status,sleeve_entry_long_turnover,sleeve_entry_short_turnover,sleeve_entry_gross_turnover,sleeve_entry_turnover_cost,sleeve_exit_long_turnover,sleeve_exit_short_turnover,sleeve_exit_gross_turnover,sleeve_exit_turnover_cost,sleeve_long_turnover,sleeve_short_turnover,sleeve_gross_turnover,sleeve_net_turnover,sleeve_turnover_cost,sleeve_turnover_cost_bps,sleeve_borrow_cost_estimate,sleeve_long_weight,sleeve_short_weight,sleeve_gross_exposure,sleeve_net_exposure,exit_gross_turnover,entry_turnover_cost,exit_long_turnover,borrow_cost_estimate,entry_gross_turnover,net_turnover,short_weight,long_turnover,net_exposure,exit_turnover_cost,gross_turnover,entry_long_turnover,exit_short_turnover,turnover_cost,entry_short_turnover,gross_exposure,short_turnover,long_weight,turnover_cost_bps,sleeve_capital_weight
2025-06-02,2025-06-03,2025-06-16,0,50,sector_neutral,equal_weight,,20.0,0.0,signal_horizon,9,executed_complete_return_path,1.0000000000000004,1.0000000000000004,2.000000000000001,0.004000000000000002,1.0000000000000004,1.0000000000000004,2.000000000000001,0.004000000000000002,2.000000000000001,2.000000000000001,4.000000000000002,0.0,0.008000000000000004,80.00000000000004,0.0,1.0,1.0,2.0,0.0,2.000000000000001,0.004000000000000002,1.0000000000000004,0.0,2.000000000000001,0.0,1.0,2.000000000000001,0.0,0.004000000000000002,4.000000000000002,1.0000000000000004,1.0000000000000004,0.008000000000000004,1.0000000000000004,2.0,2.000000000000001,1.0,80.00000000000004,1.0
2025-06-16,2025-06-17,2025-07-01,0,50,sector_neutral,equal_weight,,20.0,0.0,signal_horizon,9,executed_complete_return_path,1.0000000000000004,1.0000000000000004,2.000000000000001,0.004000000000000002,1.0000000000000004,1.0000000000000004,2.000000000000001,0.004000000000000002,2.000000000000001,2.000000000000001,4.000000000000002,0.0,0.008000000000000004,80.00000000000004,0.0,1.0,1.0,2.0,0.0,2.000000000000001,0.004000000000000002,1.0000000000000004,0.0,2.000000000000001,0.0,1.0,2.000000000000001,0.0,0.004000000000000002,4.000000000000002,1.0000000000000004,1.0000000000000004,0.008000000000000004,1.0000000000000004,2.0,2.000000000000001,1.0,80.00000000000004,1.0
2025-07-01,2025-07-02,2025-07-16,0,50,sector_neutral,equal_weight,,20.0,0.0,signal_horizon,9,executed_complete_return_path,1.0000000000000004,1.0000000000000004,2.000000000000001,0.004000000000000002,1.0000000000000004,1.0000000000000004,2.000000000000001,0.004000000000000002,2.000000000000001,2.000000000000001,4.000000000000002,0.0,0.008000000000000004,80.00000000000004,0.0,1.0,1.0,2.0,0.0,2.000000000000001,0.004000000000000002,1.0000000000000004,0.0,2.000000000000001,0.0,1.0,2.000000000000001,0.0,0.004000000000000002,4.000000000000002,1.0000000000000004,1.0000000000000004,0.008000000000000004,1.0000000000000004,2.0,2.000000000000001,1.0,80.00000000000004,1.0
2025-07-16,2025-07-17,2025-07-30,0,50,sector_neutral,equal_weight,,20.0,0.0,signal_horizon,9,executed_complete_return_path,1.0000000000000004,1.0000000000000004,2.000000000000001,0.004000000000000002,1.0000000000000004,1.0000000000000004,2.000000000000001,0.004000000000000002,2.000000000000001,2.000000000000001,4.000000000000002,0.0,0.008000000000000004,80.00000000000004,0.0,1.0,1.0,2.0,0.0,2.000000000000001,0.004000000000000002,1.0000000000000004,0.0,2.000000000000001,0.0,1.0,2.000000000000001,0.0,0.004000000000000002,4.000000000000002,1.0000000000000004,1.0000000000000004,0.008000000000000004,1.0000000000000004,2.0,2.000000000000001,1.0,80.00000000000004,1.0
2025-07-30,2025-07-31,2025-08-13,0,50,sector_neutral,equal_weight,,20.0,0.0,signal_horizon,9,executed_complete_return_path,1.0000000000000004,1.0000000000000004,2.000000000000001,0.004000000000000002,1.0000000000000004,1.0000000000000004,2.000000000000001,0.004000000000000002,2.000000000000001,2.000000000000001,4.000000000000002,0.0,0.008000000000000004,80.00000000000004,0.0,1.0,1.0,2.0,0.0,2.000000000000001,0.004000000000000002,1.0000000000000004,0.0,2.000000000000001,0.0,1.0,2.000000000000001,0.0,0.004000000000000002,4.000000000000002,1.0000000000000004,1.0000000000000004,0.008000000000000004,1.0000000000000004,2.0,2.000000000000001,1.0,80.00000000000004,1.0
2025-08-13,2025-08-14,2025-08-27,0,50,sector_neutral,equal_weight,,20.0,0.0,signal_horizon,9,executed_complete_return_path,1.0000000000000004,1.0000000000000004,2.000000000000001,0.004000000000000002,1.0000000000000004,1.0000000000000004,2.000000000000001,0.004000000000000002,2.000000000000001,2.000000000000001,4.000000000000002,0.0,0.008000000000000004,80.00000000000004,0.0,1.0,1.0,2.0,0.0,2.000000000000001,0.004000000000000002,1.0000000000000004,0.0,2.000000000000001,0.0,1.0,2.000000000000001,0.0,0.004000000000000002,4.000000000000002,1.0000000000000004,1.0000000000000004,0.008000000000000004,1.0000000000000004,2.0,2.000000000000001,1.0,80.00000000000004,1.0
2025-08-27,2025-08-28,2025-09-11,0,50,sector_neutral,equal_weight,,20.0,0.0,signal_horizon,9,executed_complete_return_path,1.0000000000000004,1.0000000000000004,2.000000000000001,0.004000000000000002,1.0000000000000004,1.0000000000000004,2.000000000000001,0.004000000000000002,2.000000000000001,2.000000000000001,4.000000000000002,0.0,0.008000000000000004,80.00000000000004,0.0,1.0,1.0,2.0,0.0,2.000000000000001,0.004000000000000002,1.0000000000000004,0.0,2.000000000000001,0.0,1.0,2.000000000000001,0.0,0.004000000000000002,4.000000000000002,1.0000000000000004,1.0000000000000004,0.008000000000000004,1.0000000000000004,2.0,2.000000000000001,1.0,80.00000000000004,1.0
2025-09-11,2025-09-12,2025-09-25,0,50,sector_neutral,equal_weight,,20.0,0.0,signal_horizon,9,executed_complete_return_path,1.0000000000000004,1.0000000000000004,2.000000000000001,0.004000000000000002,1.0000000000000004,1.0000000000000004,2.000000000000001,0.004000000000000002,2.000000000000001,2.000000000000001,4.000000000000002,0.0,0.008000000000000004,80.00000000000004,0.0,1.0,1.0,2.0,0.0,2.000000000000001,0.004000000000000002,1.0000000000000004,0.0,2.000000000000001,0.0,1.0,2.000000000000001,0.0,0.004000000000000002,4.000000000000002,1.0000000000000004,1.0000000000000004,0.008000000000000004,1.0000000000000004,2.0,2.000000000000001,1.0,80.00000000000004,1.0
2025-09-25,2025-09-26,2025-10-09,0,50,sector_neutral,equal_weight,,20.0,0.0,signal_horizon,9,executed_complete_return_path,1.0000000000000004,1.0000000000000004,2.000000000000001,0.004000000000000002,1.0000000000000004,1.0000000000000004,2.000000000000001,0.004000000000000002,2.000000000000001,2.000000000000001,4.000000000000002,0.0,0.008000000000000004,80.00000000000004,0.0,1.0,1.0,2.0,0.0,2.000000000000001,0.004000000000000002,1.0000000000000004,0.0,2.000000000000001,0.0,1.0,2.000000000000001,0.0,0.004000000000000002,4.000000000000002,1.0000000000000004,1.0000000000000004,0.008000000000000004,1.0000000000000004,2.0,2.000000000000001,1.0,80.00000000000004,1.0
2025-10-09,2025-10-10,2025-10-23,0,50,sector_neutral,equal_weight,,20.0,0.0,signal_horizon,9,executed_complete_return_path,1.0000000000000004,1.0000000000000004,2.000000000000001,0.004000000000000002,1.0000000000000004,1.0000000000000004,2.000000000000001,0.004000000000000002,2.000000000000001,2.000000000000001,4.000000000000002,0.0,0.008000000000000004,80.00000000000004,0.0,1.0,1.0,2.0,0.0,2.000000000000001,0.004000000000000002,1.0000000000000004,0.0,2.000000000000001,0.0,1.0,2.000000000000001,0.0,0.004000000000000002,4.000000000000002,1.0000000000000004,1.0000000000000004,0.008000000000000004,1.0000000000000004,2.0,2.000000000000001,1.0,80.00000000000004,1.0
