instrument_id,gross_return_contribution,absolute_gross_contribution,position_day_count,max_abs_stock_daily_return
SNDK,0.05733579762577705,0.14649026183273028,153,0.17902286324732963
HOOD,0.011285371115973502,0.14477293657957063,225,0.15832097561363034
SATS,0.04606283626848656,0.12323407012118455,171,0.7024765852638799
COIN,0.0022964139442879813,0.10610405799158903,162,0.16695787191719702
LITE,0.03000413559242318,0.09825114137022724,126,0.17125079088588557
AXON,-0.01002931279768933,0.09239743977680516,180,0.17552141465240378
MU,0.02883680562464408,0.08428935995090914,126,0.19291611835518196
VRT,0.01776920523964681,0.08212254069046988,144,0.24491537431355392
CVNA,0.009089172692185439,0.080431474582967,144,0.14167290113877118
APP,0.00848789614671845,0.07619837800964813,108,0.19679953236338965
NRG,0.0004560003987152553,0.07600231966040485,189,0.13607819882141448
CEG,-0.0004934423209930071,0.06971879629639592,153,0.09815361425915115
DELL,0.008774324572135308,0.06861707280579986,144,0.09133383984243204
XYZ,0.006957898789091246,0.06741422731863447,153,0.16816435339451608
NEM,0.007156420751776306,0.06690282626591922,162,0.08679995690361042
CCL,-0.0019883480235965176,0.06562892732696864,153,0.11230162116127729
LRCX,0.016836404608233203,0.06510640445197381,135,0.09868508485985927
INTC,0.006571648063985381,0.06387974738956569,108,0.17028718802780562
FIX,0.022023628960167862,0.06358751178090767,144,0.22370872792376217
VST,0.0003334974018650644,0.06255216044932874,144,0.07771688388024278
STX,0.017450015885912887,0.059681014537821764,99,0.19144066597782783
WDC,0.016887739343954072,0.059044948598515,81,0.10702124812475033
COHR,0.023067282377819676,0.05701876214596068,99,0.18324294195971746
ADM,0.007891060211545422,0.053300824194862956,207,0.0637058739426617
DAL,0.0014210381612126247,0.05239373476875673,135,0.11992110933600242
GEV,0.004418321411466611,0.05096870607964313,108,0.15624495721227039
KVUE,0.0045357718671515945,0.050727004703581144,198,0.1322263222697626
HSY,-0.0003234195773007164,0.049396333789156394,198,0.05941543701665997
KR,-0.001189173668275758,0.049084556426395115,189,0.05265482858138082
FCX,0.004031155411425758,0.0486166409318803,108,0.16953273225389298
CIEN,0.01991346984879944,0.04783983022137865,99,0.13136878059312262
CVX,-0.005873974321760345,0.04701389057738728,216,0.050994334775061434
TPL,-0.0013069374351737822,0.04686845876819871,126,0.1568439578558285
WBD,0.015739653715058567,0.04647094690601447,108,0.2894736944480223
QCOM,0.0013963198785841625,0.04553061541505207,99,0.15115392764797364
KDP,0.00040727429047286056,0.04326243273512842,198,0.07621496488862944
UNH,0.005571615654511066,0.042794123169077186,126,0.19605277439933644
HAL,0.0006197661906337559,0.04203530102955047,117,0.11582655838176592
APO,0.0038841216436670428,0.04173680121442331,117,0.08566436306935599
SYY,0.0008217080821740973,0.041570831721071004,198,0.15281173170943396
COST,0.0008271000927129711,0.04103938213192727,216,0.039067528543312524
APH,0.0029230129107641993,0.04070904721931437,99,0.12204507173342771
GS,-0.00797083339462744,0.04045391350356687,144,0.07473623704566434
TSLA,0.006382334223956664,0.04044096835165023,81,0.14259893789511568
WMT,-0.002596172688401974,0.040105244419461984,180,0.07267871091139566
PM,0.0020690373275200754,0.03996110676354905,144,0.08427526275584063
PG,0.00043673560777529813,0.039778751876123994,225,0.03168717520194653
ELV,0.002487767997012012,0.03974708975785851,117,0.08384855587140483
