run_name,hold_days,holding_clock,effective_holding_days,step_days,top_k,cost_bps,neutral_mode,turnover_accounting,skipped_incomplete_return_path_count,portfolio_total_return,portfolio_sharpe,first_half_total_return,second_half_total_return,top_5_net_return_days_simple_sum,bottom_5_net_return_days_simple_sum,top_5_instrument_abs_contribution_share,max_abs_selected_stock_daily_return,selected_stock_return_abs_gt_20pct_count,selected_stock_return_abs_gt_50pct_count
canonical_us300_release_v1_ls_hold10d_top30_cost5bps_unconstrained_signal_horizon,10,signal_horizon,9,10,30,5.0,unconstrained,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.9436059362516896,3.479634018212455,0.4177599468858868,0.37089917127425,0.1824287544778727,-0.1854098074832676,0.1308240144181812,0.4910926596045015,9,0
canonical_us300_release_v1_ls_hold10d_top30_cost5bps_sector_neutral_signal_horizon,10,signal_horizon,9,10,30,5.0,sector_neutral,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.5663944489578685,3.1042865961085213,0.3243865455033794,0.1827320764290199,0.139160437661282,-0.1219449707254723,0.1164082844566837,0.4910926596045015,4,0
canonical_us300_release_v1_ls_hold10d_top30_cost10bps_unconstrained_signal_horizon,10,signal_horizon,9,10,30,10.0,unconstrained,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.8487991476787473,3.2146200026115856,0.382764128100602,0.3370314648083192,0.1814287544778727,-0.1864098074832676,0.1308240144181812,0.4910926596045015,9,0
canonical_us300_release_v1_ls_hold10d_top30_cost10bps_sector_neutral_signal_horizon,10,signal_horizon,9,10,30,10.0,sector_neutral,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.4900428282470099,2.760164430683229,0.2917192650043305,0.1535345710292681,0.138160437661282,-0.1229449707254723,0.1164082844566837,0.4910926596045015,4,0
canonical_us300_release_v1_ls_hold10d_top30_cost20bps_unconstrained_signal_horizon,10,signal_horizon,9,10,30,20.0,unconstrained,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.6725822268483346,2.6819669079752857,0.3152438915607334,0.2716897889284755,0.1794287544778728,-0.1884098074832676,0.1308240144181812,0.4910926596045015,9,0
canonical_us300_release_v1_ls_hold10d_top30_cost20bps_sector_neutral_signal_horizon,10,signal_horizon,9,10,30,20.0,sector_neutral,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.3481207707258094,2.0659975091523552,0.2286900050746683,0.0972017068242401,0.136160437661282,-0.1249449707254723,0.1164082844566837,0.4910926596045015,4,0
canonical_us300_release_v1_ls_hold10d_top30_cost50bps_unconstrained_signal_horizon,10,signal_horizon,9,10,30,50.0,unconstrained,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.2369589106933241,1.1198280975979935,0.1311452390688245,0.0935456102097089,0.1734287544778728,-0.1958480760282693,0.1308240144181812,0.4910926596045015,9,0
canonical_us300_release_v1_ls_hold10d_top30_cost50bps_sector_neutral_signal_horizon,10,signal_horizon,9,10,30,50.0,sector_neutral,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,-0.0027723136393331,0.0634468966196279,0.0568243260726977,-0.0563921914378148,0.130160437661282,-0.1309449707254723,0.1164082844566837,0.4910926596045015,4,0
canonical_us300_release_v1_ls_hold10d_top50_cost5bps_unconstrained_signal_horizon,10,signal_horizon,9,10,50,5.0,unconstrained,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.6635540206587813,3.695940289315111,0.2953817899334925,0.2842190878290731,0.1380906708388373,-0.1282052736041653,0.0955005223312507,0.4910926596045015,15,0
canonical_us300_release_v1_ls_hold10d_top50_cost5bps_sector_neutral_signal_horizon,10,signal_horizon,9,10,50,5.0,sector_neutral,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.4209320440046928,2.95143552847308,0.2206618542041529,0.1640668864278665,0.1134051729646578,-0.1107963325041158,0.090116656512324,0.7024765852638799,10,1
canonical_us300_release_v1_ls_hold10d_top50_cost10bps_unconstrained_signal_horizon,10,signal_horizon,9,10,50,10.0,unconstrained,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.5824271528128815,3.3247971823952285,0.2634138639360739,0.2525010196444599,0.1370906708388373,-0.1292052736041653,0.0955005223312507,0.4910926596045015,15,0
canonical_us300_release_v1_ls_hold10d_top50_cost10bps_sector_neutral_signal_horizon,10,signal_horizon,9,10,50,10.0,sector_neutral,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.351621225411592,2.5280763814889324,0.1905339859275239,0.1353067122721121,0.1124051729646578,-0.1117963325041158,0.090116656512324,0.7024765852638799,10,1
canonical_us300_release_v1_ls_hold10d_top50_cost20bps_unconstrained_signal_horizon,10,signal_horizon,9,10,50,20.0,unconstrained,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.4316343629081103,2.5776668417336075,0.2017350890337947,0.1913061172734482,0.1350906708388373,-0.1312052736041653,0.0955005223312507,0.4910926596045015,15,0
canonical_us300_release_v1_ls_hold10d_top50_cost20bps_sector_neutral_signal_horizon,10,signal_horizon,9,10,50,20.0,sector_neutral,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.2227934812086702,1.6804900440757966,0.1324056852022579,0.0798192707680278,0.1104051729646578,-0.1137963325041158,0.090116656512324,0.7024765852638799,10,1
canonical_us300_release_v1_ls_hold10d_top50_cost50bps_unconstrained_signal_horizon,10,signal_horizon,9,10,50,50.0,unconstrained,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.0588443813132431,0.4454054225347229,0.0335600151557025,0.0244633749243221,0.1290906708388373,-0.1406773280731064,0.0955005223312507,0.4910926596045015,15,0
canonical_us300_release_v1_ls_hold10d_top50_cost50bps_sector_neutral_signal_horizon,10,signal_horizon,9,10,50,50.0,sector_neutral,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,-0.095680136928772,-0.6610388125232237,-0.0260865800408139,-0.0714576423958454,0.1044051729646578,-0.124001735919688,0.090116656512324,0.7024765852638799,10,1
canonical_us300_release_v1_ls_hold20d_top10_cost5bps_unconstrained_signal_horizon,20,signal_horizon,19,20,10,5.0,unconstrained,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,1.52030473454962,3.133029932025258,0.6877240821329254,0.4933156202668436,0.3430851643819679,-0.265322619951365,0.2329394733479918,0.7024765852638799,5,1
canonical_us300_release_v1_ls_hold20d_top10_cost5bps_sector_neutral_signal_horizon,20,signal_horizon,19,20,10,5.0,sector_neutral,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.6133242566967929,2.1566242043314285,0.1899425106279939,0.3558001687370242,0.210748430174094,-0.1920569938895988,0.2620453454043187,0.1755214146524037,0,0
canonical_us300_release_v1_ls_hold20d_top10_cost10bps_unconstrained_signal_horizon,20,signal_horizon,19,20,10,10.0,unconstrained,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,1.4605590550936167,3.0536579696356148,0.6675876206830291,0.4755201013580274,0.3430851643819679,-0.267322619951365,0.2329394733479918,0.7024765852638799,5,1
canonical_us300_release_v1_ls_hold20d_top10_cost10bps_sector_neutral_signal_horizon,20,signal_horizon,19,20,10,10.0,sector_neutral,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.5750945079623138,2.0537629786891785,0.1757344167250794,0.3396686237608186,0.210748430174094,-0.1940569938895988,0.2620453454043187,0.1755214146524037,0,0
canonical_us300_release_v1_ls_hold20d_top10_cost20bps_unconstrained_signal_horizon,20,signal_horizon,19,20,10,20.0,unconstrained,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,1.3451139934695435,2.8934534943463146,0.6279738295592394,0.4405108674900901,0.3430851643819679,-0.271322619951365,0.2329394733479918,0.7024765852638799,5,1
canonical_us300_release_v1_ls_hold20d_top10_cost20bps_sector_neutral_signal_horizon,20,signal_horizon,19,20,10,20.0,sector_neutral,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.5012231207615041,1.846259804925489,0.147783665342791,0.3079321182996242,0.210748430174094,-0.1980569938895988,0.2620453454043187,0.1755214146524037,0,0
canonical_us300_release_v1_ls_hold20d_top10_cost50bps_unconstrained_signal_horizon,20,signal_horizon,19,20,10,50.0,unconstrained,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,1.0290953784291688,2.4050745821374657,0.5142498609226696,0.3400003729852026,0.3430851643819679,-0.283322619951365,0.2329394733479918,0.7024765852638799,5,1
