portfolio,top_k,neutral_mode,hold_days,holding_clock,effective_holding_days,rebalance_days,signal_delay_days,transaction_cost_bps,borrow_cost_bps_annual,price_adjustment_mode,daily_count,invested_day_count,cash_day_count,rebalance_count,cumulative_return,benchmark_return,relative_wealth_vs_equal_weight_long_only,sharpe,max_drawdown,average_gross_turnover,average_turnover_cost_bps,total_turnover_cost,skipped_incomplete_return_path_count,turnover_accounting
top20_unconstrained_20bps,20,unconstrained,10,signal_horizon,9,10,1,20.0,0.0,vendor_adjusted,250,250,0,25,0.9950376171318256,0.327190618891692,0.5032035253517977,3.1622632156088737,-0.0971034013041696,4.000000000000001,80.00000000000001,0.2,0,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting
top20_sector_neutral_20bps,20,sector_neutral,10,signal_horizon,9,10,1,20.0,0.0,vendor_adjusted,250,250,0,25,0.3828647069403699,0.327190618891692,0.0419488257799547,1.9655421202359145,-0.0809018802647956,4.000000000000001,80.00000000000001,0.2,0,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting
top50_unconstrained_20bps,50,unconstrained,10,signal_horizon,9,10,1,20.0,0.0,vendor_adjusted,250,250,0,25,0.4316343629081103,0.327190618891692,0.0786953603572311,2.5776668417336075,-0.0577557536532661,4.000000000000002,80.00000000000004,0.2000000000000001,0,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting
top50_sector_neutral_20bps,50,sector_neutral,10,signal_horizon,9,10,1,20.0,0.0,vendor_adjusted,250,250,0,25,0.2227934812086702,0.327190618891692,-0.0786602438240571,1.6804900440757966,-0.0604015421601504,4.000000000000002,80.00000000000004,0.2000000000000001,0,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting
