instrument_id,date,previous_adjustment,adjustment,adjustment_change_pct,raw_close_reconstructed,adjusted_close_reconstructed,raw_daily_return,adjusted_daily_return,raw_jump_removed_by_adjustment,large_adjustment_change_gt_20pct,residual_adjusted_return_gt_20pct,residual_adjusted_return_gt_50pct,review_priority
TGT,2024-11-20,0.9324869986694418,0.939230356237872,0.007231583473069625,121.72000122070312,114.3231201077952,-0.21974358191856969,-0.21410109250081566,False,False,True,False,high
CMCSA,2022-01-04,0.8650129587004699,0.8692958572510336,0.0049512536286138165,47.03842544555664,40.890308371433996,-0.010839592307600343,-0.0059420082497322335,False,False,False,False,low
CSCO,2022-01-04,0.8786818757908106,0.883859813312329,0.0058928466196690454,61.25,54.13641356538015,-0.030240656301875668,-0.024526013231471633,False,False,False,False,low
JPM,2022-01-05,0.8917228775018827,0.8970679236374927,0.0059940663971567165,163.77999877929688,146.92178343829494,-0.02413157961968404,-0.01828215951303591,False,False,False,False,low
KDP,2022-01-05,0.8882874145874201,0.8927924777484156,0.005071627816643165,37.029998779296875,33.06010436118926,-0.006172827498583278,-0.0011325059655894476,False,False,False,False,low
AXP,2022-01-06,0.9459540709528436,0.9483283902778744,0.002509973156137768,172.8999938964844,163.96597289090735,0.0066371648003464845,0.009163797061965795,False,False,False,False,low
BMY,2022-01-06,0.8307295588791278,0.8380095121601051,0.008763325203932748,61.47999954223633,51.52082442399295,-0.010939515875885153,-0.002272057207146516,False,False,False,False,low
MA,2022-01-06,0.9737121136733634,0.97498977246098,0.0013121525034709425,370.0,360.7462158105626,-0.01043058026249688,-0.00913211427102989,False,False,False,False,low
ORCL,2022-01-06,0.9413334320553856,0.944830479579271,0.0037149934388813755,86.33999633789062,81.5766601468017,-0.0013879568338277526,0.00232188035452241,False,False,False,False,low
PGR,2022-01-06,0.9092592924015128,0.910143926900981,0.000972917743993218,105.25,95.79264830632825,0.022937123377891666,0.023932357056215325,False,False,False,False,low
SYY,2022-01-06,0.8869881145860338,0.8922168681378353,0.005894953343587694,79.66999816894531,71.08291625084345,-0.006608463833719491,-0.000752467076104435,False,False,False,False,low
INTU,2022-01-07,0.9696516669148568,0.9707773056500264,0.0011608691797035942,567.5599975585938,550.9743652246672,-0.03211176285314654,-0.030988171229245354,False,False,False,False,low
ROP,2022-01-07,0.9723576760920164,0.973638071271635,0.001316794437993929,461.4299926757813,449.2658080957324,-0.02135738562930789,-0.0200687144779208,False,False,False,False,low
T,2022-01-07,0.7688475798734844,0.7896699124078366,0.027082523349788667,19.856494903564453,15.680076591224395,0.00689383025549728,0.03416305592415014,False,False,False,False,low
VZ,2022-01-07,0.750217432644326,0.7592560382674928,0.012047981331636093,54.2400016784668,41.18204879001486,0.008928634150297654,0.02108418749949359,False,False,False,False,low
ACN,2022-01-12,0.9343711365655634,0.9367937667159796,0.002592792152507073,377.19000244140625,353.3492431546945,0.005545085897658009,0.008152255305365452,False,False,False,False,low
ABBV,2022-01-13,0.8484274465543881,0.8572314166295202,0.01037680960332743,133.52000427246094,114.45754241086128,-0.027460042232026693,-0.017368180258640398,False,False,False,False,low
ABT,2022-01-13,0.917331756721001,0.9205673774014436,0.003527208838826512,129.64999389648438,119.35155486139979,-0.030436787967876633,-0.02701693603659583,False,False,False,False,low
EOG,2022-01-13,0.8177740176479125,0.8237861931685091,0.007351878869774842,102.0,84.02619170318793,-0.007492426468988844,-0.0001956310110545756,False,False,False,False,low
FCX,2022-01-13,0.9375439870946036,0.9406691973090846,0.0033334011603720626,44.33000183105469,41.699867239128466,-0.018161675905021046,-0.014888814896185099,False,False,False,False,low
GD,2022-01-13,0.9097731276107824,0.9149103573662626,0.0056467152079677785,211.3699951171875,193.3845977691712,-0.002642370490006374,0.002989424004330221,False,False,False,False,low
EME,2022-01-14,0.985655454748773,0.9866828659167888,0.0010423633969312007,124.6500015258789,122.99002074208629,-0.0016018978829515085,-0.0005612042457391331,False,False,False,False,low
PNC,2022-01-14,0.8441933753504316,0.8488792034337685,0.005550657254792757,222.1999969482422,188.62095641240964,-0.01876794019551864,-0.013321457344129595,False,False,False,False,low
LOW,2022-01-18,0.916615166647376,0.9196378774966052,0.0032976880147914667,238.41000366210935,219.25086974178012,-0.02050119293140673,-0.017271111454834065,False,False,False,False,low
CAT,2022-01-19,0.9243742349293452,0.9288595972103292,0.0048523229137025226,221.66000366210935,205.89102171922698,-0.035715802973296795,-0.031036784668742712,False,False,False,False,low
ZTS,2022-01-19,0.9530873905095588,0.9546179973356366,0.001605945940864384,200.5800018310547,191.47727965353974,-0.010458782186014703,-0.008869632483948453,False,False,False,False,low
CVS,2022-01-20,0.8573687415087476,0.8619513992044554,0.005345025394375202,102.38999938964844,88.2552032384508,-0.010246472594137468,-0.004956214855980634,False,False,False,False,low
PG,2022-01-20,0.8915120818918241,0.89632566470041,0.005399346690143858,162.0,145.20475768146642,0.0,0.005399346690143858,False,False,False,False,low
CL,2022-01-21,0.8981265617356519,0.9030055637788412,0.005432421499438345,83.66999816894531,75.55447386792308,0.004562339407384153,0.01001954545750694,False,False,False,False,low
MRSH,2022-01-26,0.933392582639354,0.9365913093255968,0.0034269896137355538,154.0,144.2350616361419,-0.016916654961605104,-0.013547638548722207,False,False,False,False,low
