feature
return_std_20
boll_width_20
xschannel_width_20
price_range
return_std_10
mike_ws_to_close
mike_wr_to_close
return_std_5
turnover_rank
momentum_20
obv_ratio_20
dma_signal_10_pct
macd_dif_pct
close_to_ma_5
alpha022
close_to_ma_20
volume_rank
uos_7_14_28
macd_hist_pct
boll_zscore_20
log_return
volume_to_ma_10
volume_to_ma_5
wr_14
kdj_j_9
rsv_9
volume_to_ma_20
alpha006
alpha004
alpha005
amt_range_20
momentum_10
alpha015
vwap_gap
rsi_14
momentum_5
xschannel_pos_20
kdj_d_9
rsi_6
alpha002
kdj_k_9
alpha001
price_position
alpha020
close_to_ma_10
turnover
alpha023
market_breadth
market_high_vol_regime
market_return_20d
