model,param_set_id,model_params_json,pearson_corr,spearman_corr,rmse,mae,pearson_ic_mean,pearson_ic_median,pearson_ic_std,pearson_ic_icir,pearson_ic_positive_ratio,spearman_ic_mean,spearman_ic_median,spearman_ic_std,spearman_ic_icir,spearman_ic_positive_ratio,long_short_spread,group_monotonic_spearman,prediction_coverage_ratio,evaluation_date_count,selected_feature_count,fit_predict_time_sec
ridge,default,{},0.038449018777275995,0.030907936622444482,0.06523288026382161,0.04615017336647325,0.026128673755501573,0.025161772692377838,0.1698771821178783,0.15796790835438415,0.5387045813586098,0.023511850726046307,0.015268331806628913,0.13915535300240653,0.1559193947363249,0.5355450236966824,0.0041570790963113505,0.4545454545454546,1.0,211.0,50.0,0.08267879164001594
lasso,default,{},0.04245896592969776,0.04408509257335575,0.06508102980209479,0.04595466873738221,0.022129925855724375,0.01673343345781942,0.20784946869547552,0.11633559352989392,0.5402843601895735,0.01631996760933362,0.011059046040672505,0.16593420068002065,0.09190008381685862,0.5181674565560822,0.0033538522885410847,0.2767676767676767,1.0,211.0,50.0,0.3830488473176956
