run_name,base_run_name,predictions_path,hold_days,step_days,signal_delay_days,holding_clock,effective_holding_days,top_k,cost_bps,borrow_cost_bps,price_adjustment_mode,neutral_mode,daily_count,invested_day_count,cash_day_count,rebalance_count,portfolio_total_return,portfolio_annualized_return,portfolio_annualized_vol,portfolio_sharpe,portfolio_max_drawdown,portfolio_calmar,sharpe_definition,hit_ratio,first_half_total_return,second_half_total_return,monthly_period_count,positive_month_ratio,best_month_return,worst_month_return,top_5_net_return_days_simple_sum,bottom_5_net_return_days_simple_sum,top_5_instrument_abs_contribution_share,max_abs_selected_stock_daily_return,selected_stock_return_abs_gt_20pct_count,selected_stock_return_abs_gt_50pct_count,average_gross_turnover,average_net_turnover,average_turnover_cost_bps,total_turnover_cost,turnover_accounting,skipped_incomplete_return_path_count,total_borrow_cost,average_gross_exposure,average_net_exposure,average_max_abs_sector_net_weight,benchmark_total_return,relative_wealth_vs_equal_weight_long_only,is_short_sample_warning
canonical_us300_release_v1_ls_hold10d_top20_cost10bps_unconstrained_signal_horizon,canonical_us300_release_v1,outputs/public_us300_release_v1/test_predictions_with_actual.csv,10,10,1,signal_horizon,9,20,10.0,0.0,vendor_adjusted,unconstrained,250,250,0,25,1.205073002273794,1.2190666973414164,0.2269629398223413,3.630230559650611,-0.0933726241419579,13.05593270558642,"mean_daily_net_return / sample_std_daily_net_return * sqrt(252), risk_free_rate=0",0.56,0.4970361089567967,0.4729591284276981,13,0.8461538461538461,0.1774861048287561,-0.0136284231897887,0.2227909927823644,-0.1818558540090755,0.1568865784540945,0.4910926596045015,6,0,4.000000000000001,0.0,40.00000000000001,0.1,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.0,2.0,0.0,0.138,0.327190618891692,0.6614591535579137,False
canonical_us300_release_v1_ls_hold10d_top20_cost10bps_sector_neutral_signal_horizon,canonical_us300_release_v1,outputs/public_us300_release_v1/test_predictions_with_actual.csv,10,10,1,signal_horizon,9,20,10.0,0.0,vendor_adjusted,sector_neutral,250,250,0,25,0.5285110003819189,0.5337081209161614,0.1723481235983774,2.5693703047564065,-0.0771418842047642,6.9185258620271055,"mean_daily_net_return / sample_std_daily_net_return * sqrt(252), risk_free_rate=0",0.532,0.3346085758223089,0.1452878604800946,13,0.9230769230769232,0.0714634652086165,-0.0273812189593907,0.1577480700892053,-0.1591016089915333,0.1495430258856294,0.3583731788330714,3,0,4.000000000000001,0.0,40.00000000000001,0.1,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.0,2.0,0.0,0.0,0.327190618891692,0.1516891233441246,False
canonical_us300_release_v1_ls_hold10d_top20_cost20bps_unconstrained_signal_horizon,canonical_us300_release_v1,outputs/public_us300_release_v1/test_predictions_with_actual.csv,10,10,1,signal_horizon,9,20,20.0,0.0,vendor_adjusted,unconstrained,250,250,0,25,0.9950376171318256,1.0060913143486303,0.2286741332858885,3.1622632156088737,-0.0971034013041696,10.361030621338584,"mean_daily_net_return / sample_std_daily_net_return * sqrt(252), risk_free_rate=0",0.56,0.4239639484456277,0.4010450329936874,13,0.7692307692307693,0.1681181761564345,-0.0214615396525147,0.2207909927823644,-0.1841766845277958,0.1568865784540945,0.4910926596045015,6,0,4.000000000000001,0.0,80.00000000000001,0.2,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.0,2.0,0.0,0.138,0.327190618891692,0.5032035253517977,False
canonical_us300_release_v1_ls_hold10d_top20_cost20bps_sector_neutral_signal_horizon,canonical_us300_release_v1,outputs/public_us300_release_v1/test_predictions_with_actual.csv,10,10,1,signal_horizon,9,20,20.0,0.0,vendor_adjusted,sector_neutral,250,250,0,25,0.3828647069403699,0.3864554854909232,0.1740111022464917,1.9655421202359145,-0.0809018802647956,4.77684182649447,"mean_daily_net_return / sample_std_daily_net_return * sqrt(252), risk_free_rate=0",0.512,0.2694519248728604,0.0893399583279734,13,0.7692307692307693,0.0628867045369241,-0.0351271809230234,0.1565106862499408,-0.1611016089915333,0.1495430258856294,0.3583731788330714,3,0,4.000000000000001,0.0,80.00000000000001,0.2,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.0,2.0,0.0,0.0,0.327190618891692,0.0419488257799547,False
canonical_us300_release_v1_ls_hold10d_top20_cost50bps_unconstrained_signal_horizon,canonical_us300_release_v1,outputs/public_us300_release_v1/test_predictions_with_actual.csv,10,10,1,signal_horizon,9,20,50.0,0.0,vendor_adjusted,unconstrained,250,250,0,25,0.4757429328721538,0.4803445113984992,0.2378529825499997,1.7688565244825705,-0.1082496149924082,4.437378474114542,"mean_daily_net_return / sample_std_daily_net_return * sqrt(252), risk_free_rate=0",0.548,0.2247201272040602,0.2049634035501291,13,0.6153846153846154,0.1403495474309097,-0.0446811561937823,0.2147909927823643,-0.1961766845277958,0.1568865784540945,0.4910926596045015,6,0,4.000000000000001,0.0,200.00000000000009,0.5000000000000002,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.0,2.0,0.0,0.138,0.327190618891692,0.111929900547756,False
canonical_us300_release_v1_ls_hold10d_top20_cost50bps_sector_neutral_signal_horizon,canonical_us300_release_v1,outputs/public_us300_release_v1/test_predictions_with_actual.csv,10,10,1,signal_horizon,9,20,50.0,0.0,vendor_adjusted,sector_neutral,250,250,0,25,0.0227935688187805,0.0229779965700025,0.1842578634051522,0.2150581262685462,-0.1096053065560838,0.2096431029846621,"mean_daily_net_return / sample_std_daily_net_return * sqrt(252), risk_free_rate=0",0.496,0.0917945702460527,-0.0631996195142462,13,0.6153846153846154,0.0374651567526334,-0.0580876547256814,0.1565106862499408,-0.1671016089915333,0.1495430258856294,0.3583731788330714,3,0,4.000000000000001,0.0,200.00000000000009,0.5000000000000002,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.0,2.0,0.0,0.0,0.327190618891692,-0.2293544316392973,False
canonical_us300_release_v1_ls_hold10d_top30_cost5bps_unconstrained_signal_horizon,canonical_us300_release_v1,outputs/public_us300_release_v1/test_predictions_with_actual.csv,10,10,1,signal_horizon,9,30,5.0,0.0,vendor_adjusted,unconstrained,250,250,0,25,0.9436059362516896,0.9539663602306956,0.1984023360865189,3.479634018212455,-0.0807582721025174,11.812614799629404,"mean_daily_net_return / sample_std_daily_net_return * sqrt(252), risk_free_rate=0",0.572,0.4177599468858868,0.37089917127425,13,0.7692307692307693,0.1479196689339581,-0.0129221651186161,0.1824287544778727,-0.1854098074832676,0.1308240144181812,0.4910926596045015,9,0,4.0,0.0,19.999999999999996,0.0499999999999999,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.0,2.0,0.0,0.104,0.327190618891692,0.4644512314853104,False
canonical_us300_release_v1_ls_hold10d_top30_cost5bps_sector_neutral_signal_horizon,canonical_us300_release_v1,outputs/public_us300_release_v1/test_predictions_with_actual.csv,10,10,1,signal_horizon,9,30,5.0,0.0,vendor_adjusted,sector_neutral,250,250,0,25,0.5663944489578685,0.5720282436718278,0.1494314546333881,3.1042865961085213,-0.06284051398414,9.102857494389667,"mean_daily_net_return / sample_std_daily_net_return * sqrt(252), risk_free_rate=0",0.544,0.3243865455033794,0.1827320764290199,13,0.8461538461538461,0.0715477605729393,-0.006118268031126,0.139160437661282,-0.1219449707254723,0.1164082844566837,0.4910926596045015,4,0,4.0,0.0,19.999999999999996,0.0499999999999999,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.0,2.0,0.0,0.0,0.327190618891692,0.1802332134218447,False
canonical_us300_release_v1_ls_hold10d_top30_cost10bps_unconstrained_signal_horizon,canonical_us300_release_v1,outputs/public_us300_release_v1/test_predictions_with_actual.csv,10,10,1,signal_horizon,9,30,10.0,0.0,vendor_adjusted,unconstrained,250,250,0,25,0.8487991476787473,0.8579107607769629,0.1990803010681065,3.2146200026115856,-0.0826476244567692,10.38034385641312,"mean_daily_net_return / sample_std_daily_net_return * sqrt(252), risk_free_rate=0",0.572,0.382764128100602,0.3370314648083192,13,0.7692307692307693,0.1433455488889852,-0.0168473035260493,0.1814287544778727,-0.1864098074832676,0.1308240144181812,0.4910926596045015,9,0,4.0,0.0,39.99999999999999,0.0999999999999999,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.0,2.0,0.0,0.104,0.327190618891692,0.3930170401766697,False
canonical_us300_release_v1_ls_hold10d_top30_cost10bps_sector_neutral_signal_horizon,canonical_us300_release_v1,outputs/public_us300_release_v1/test_predictions_with_actual.csv,10,10,1,signal_horizon,9,30,10.0,0.0,vendor_adjusted,sector_neutral,250,250,0,25,0.4900428282470099,0.4948043104289756,0.1498019672520293,2.760164430683229,-0.0647423963059617,7.642662901919984,"mean_daily_net_return / sample_std_daily_net_return * sqrt(252), risk_free_rate=0",0.544,0.2917192650043305,0.1535345710292681,13,0.8461538461538461,0.0672932637231453,-0.0100706160523057,0.138160437661282,-0.1229449707254723,0.1164082844566837,0.4910926596045015,4,0,4.0,0.0,39.99999999999999,0.0999999999999999,capital_scaled_full_sleeve_round_trip_without_cross_sleeve_netting,0,0.0,2.0,0.0,0.0,0.327190618891692,0.1227044608643423,False
